Genename	UniProtID	Length	Hk	genelength
Trdv2-1	A0A075B658	115	0	587
Igkv8-21	A0A140T8P7	120	0	577
Btbd35f21	A0A140T8Q5	498	0	1942
Cdr2l	A2A6T1	465	0	14216
Pramel29	A2A958	498	0	6314
Patl2	A2ARM1	529	0	66081
Ugt1a5	B2RT14	529	0	52985
Mroh2a	D3Z750	1679	0	-
Galntl6	E5D8G1	601	0	1138588
Nolc1	E9Q5C9	702	1	9667
Or8b43	E9Q6Z7	309	0	2924
Gm5849	J3QPE5	117	0	2061
1700020N15Rik	L7MTX3	112	0	678
Gata2	O09100	480	0	13141
Adam10	O35598	749	0	101232
None	P01629	112	0	-
None	P01637	128	0	-
None	P01667	111	0	-
None	P01670	111	0	-
None	P01671	111	0	-
None	P01672	111	0	-
None	P01724	129	0	-
None	P01727	129	0	-
None	P01746	140	0	-
None	P01811	117	0	-
None	P01851	173	0	-
None	P03976	113	0	-
None	P03985	172	0	-
Prl7d1	P04769	244	0	10399
None	P06323	132	0	-
Ccl2	P10148	148	0	1882
Enpep	P16406	945	0	63545
Gjc1	P28229	396	0	20121
Ftl2	P49945	183	0	-
Nat2	P50295	290	0	7726
Plp1	P60202	277	0	17062
Snap25	P60879	206	0	68975
Smg6	P61406	1418	0	238625
Rab11a	P62492	216	1	22459
Mpc1	P63030	109	0	14757
Traf5	P70191	558	0	47702
Masp1	P98064	704	0	71398
Runx1	Q03347	451	0	-
Fam98a	Q3TJZ6	515	1	14860
Nt5c3b	Q3UFY7	300	0	19487
Rmi2	Q3UPE3	149	0	57907
Wfdc6a	Q3UW55	136	0	5928
Zfp729a	Q4QQP3	973	0	25028
Pabpn1l	Q5XFR0	273	0	3268
Gli3	Q61602	1583	0	266791
Nfe2l1	Q61985	741	1	12554
Krtap5-1	Q64507	230	0	741
Dnah17	Q69Z23	4481	0	-
Fndc3c1	Q6DFV6	1356	0	65360
Colgalt2	Q6NVG7	625	0	110865
Rbm26	Q6NZN0	1012	1	70576
Adat2	Q6P6J0	191	1	10482
Lrit2	Q6PFC5	549	0	5814
Mlec	Q6ZQI3	291	1	15198
Tas2r116	Q7M713	305	0	917
Kirrel2	Q7TSU7	700	0	10156
Rpap1	Q80TE0	1409	0	24233
Znf423	Q80TS5	1292	0	297785
Bdh1	Q80XN0	343	0	36621
Muc2	Q80Z19	4576	0	31847
Amigo1	Q80ZD8	492	0	5951
9930022D16Rik	Q8BG27	128	0	6488
Atcay	Q8BHE3	372	0	26325
Hhat	Q8BMT9	499	0	274512
Sall4	Q8BX22	1067	0	19611
Znf641	Q8BZ34	422	0	10576
Gnl3	Q8CI11	538	1	6719
Trhde	Q8K093	1066	0	403486
Polr1e	Q8K202	482	0	17982
Fev	Q8QZW2	237	0	3910
Vmn1r37	Q8R2E4	302	0	3657
None	Q8R3Y5	413	0	-
Krt79	Q8VED5	531	0	10992
Or5b119	Q8VEV6	314	0	944
Pcdhb10	Q91VE5	797	0	2850
Bzw2	Q91VK1	419	1	66245
Adgra2	Q91ZV8	1336	0	37853
Hadhb	Q99JY0	475	0	29345
Ms4a6c	Q99N08	217	0	12826
Sytl1	Q99N80	567	0	-
Cotl1	Q9CQI6	142	0	31322
Atp5pb	Q9CQQ7	256	0	17401
Atg12	Q9CQY1	141	1	11436
Pip4p2	Q9CZX7	257	0	51100
Rab1b	Q9D1G1	201	1	7867
Grifin	Q9D1U0	144	0	1952
Snrnp48	Q9D361	337	1	22727
Srp19	Q9D7A6	144	0	-
Kel	Q9EQF2	713	0	18009
Cdk20	Q9JHU3	346	0	9459
Pus3	Q9JI38	481	1	8806
Phtf1	Q9QZ09	761	0	56488
Ctsz	Q9WUU7	306	0	11546
Palm	Q9Z0P4	383	0	27324
Ror2	Q9Z138	944	0	-
Igkv5-39	A0A075B5M7	95	0	553
Trav6-1	A0A075B5Z8	112	0	447
Frmpd2	A0A140LI67	1392	0	103573
Gm45871	A0A1B0GRI9	540	0	12751
Gm17655	A0A1B0GT13	591	0	26374
Gm7592	A0A668KLT6	296	0	890
Krtap4-26	A2A4L9	201	0	690
Cplane2	A2A825	258	0	12800
Dnajc25	A2ALW5	357	0	30511
H2al1j	A2BFR3	109	0	329
Ttll3	A4Q9E5	927	0	25327
Krtap4-24	B1AQ89	175	0	637
Rhox3g	B9EJQ9	160	0	5294
Spata31f1d	C0HKD3	1308	0	5798
Ubap1l	G3UW59	384	0	19336
Or52z13	K7N6B3	318	0	10345
Polr1a	O35134	1717	1	75882
Slc1a4	O35874	532	0	30533
Ninj1	O70131	152	0	8759
Wiz	O88286	1684	0	35384
Myc	P01108	454	0	4983
Krt1	P04104	637	0	5368
Rras	P10833	218	0	3686
Npr1	P18293	1057	0	15275
Ces1c	P23953	554	0	32268
Thrb	P37242	461	0	377824
Fabp2	P55050	132	0	4434
Npy	P57774	97	0	6797
Nrgn	P60761	78	0	8412
Morf4l1	P60762	362	1	23109
Ube2h	P62257	183	0	93250
Oas1f	Q14AZ4	364	0	10617
Fam219b	Q14DQ1	197	1	5656
Rspo3	Q2TJ95	277	0	83451
Defb47	Q30KN1	79	0	3083
Hk3	Q3TRM8	922	0	15400
Shld2	Q3UEN2	891	0	73460
Cep63	Q3UPP8	700	1	41946
Cdh12	Q5RJH3	794	0	1140268
4930512M02Rik	Q5SQK8	218	0	38612
Or4d1	Q5SW48	313	0	7699
Vezf1	Q5SXC4	518	0	16450
Kcnh1	Q60603	989	0	-
Cfhr1	Q61406	343	0	13219
Kif5b	Q61768	963	0	41172
Ddias	Q6NZG4	898	0	-
Npc1l1	Q6T3U4	1333	0	-
Carns1	Q6ZPS2	827	0	-
Ppp1r3c	Q7TMB3	317	0	4922
Mogs	Q80UM7	834	1	3402
Mcub	Q810S1	345	0	-
Slc25a32	Q8BMG8	316	1	21485
Cibar1	Q8BP22	286	0	-
Slc9a4	Q8BUE1	797	0	50644
Snx22	Q8C084	192	0	4543
Lrrn3	Q8CBC6	707	0	34763
Nemf	Q8CCP0	1064	0	46643
None	Q8CDN1	933	0	47916
Panx3	Q8CEG0	392	0	9333
Slc38a2	Q8CFE6	504	0	12338
Smc2	Q8CG48	1191	0	49017
Ngef	Q8CHT1	710	0	97036
Dnm1l	Q8K1M6	736	0	46729
Shisa2	Q8QZV2	295	0	6352
None	Q8R092	253	0	13165
Zbtb44	Q8R0A2	453	1	45241
Dock7	Q8R1A4	2130	0	-
Eif3c	Q8R1B4	911	1	19956
Nup58	Q8R332	587	0	46225
Plekha4	Q8VC98	588	0	-
Ptgr2	Q8VDQ1	351	0	30600
Hnrnpu	Q8VEK3	800	1	16689
Or5m5	Q8VFL5	318	0	9018
4930516K23Rik	Q8VGY1	314	0	7845
Obox4	Q8VHG5	380	0	-
Acsm1	Q91VA0	573	0	55489
Chchd6	Q91VN4	273	0	212506
Ddx1	Q91VR5	740	1	32240
Acy3	Q91XE4	318	0	3437
Cd209d	Q91ZW8	237	0	6731
Ak5	Q920P5	562	0	205545
Retnlb	Q99P86	105	0	-
Kgd4	Q9CQX8	102	0	8704
Dnmt3l	Q9CWR8	421	0	21675
Mgrn1	Q9D074	532	1	52047
Bola1	Q9D8S9	137	0	23121
Dpep3	Q9DA79	493	1	5916
Dram1	Q9DC58	238	0	56276
