Genename	UniProtID	Length	Hk	genelength
IGKJ5	A0A0A0MTA3	13	0	37
TCAF2	A6NFQ2	919	0	109458
None	A6NJR5	290	0	-
RTL1	A6NKG5	1358	0	23969
None	A6NL46	340	0	-
None	A6NNC1	897	0	-
None	A8MV72	311	0	-
None	A8MVM7	634	0	-
DCDC1	M0R2J8	1783	0	539441
TRANK1	O15050	2925	0	118238
KLK10	O43240	276	0	7436
MED7	O43513	233	0	21595
CLPX	O76031	633	1	37123
MYO1D	O94832	1006	0	384655
MICAL2	O94851	1957	0	265136
CTDNEP1	O95476	244	1	8900
SEC24B	O95487	1268	1	107124
IFNB1	P01574	187	0	838
TF	P02787	698	0	50601
CDK1	P06493	297	0	16521
LPL	P06858	475	0	65542
MMP3	P08254	477	0	7808
FRMD6-AS1	P0C7T7	363	0	-
TMSB15C	P0DX04	45	0	12365
ATP1B2	P14415	290	0	11143
FOSL1	P15407	271	0	8524
CYP2B6	P20813	491	0	27116
S1PR1	P21453	382	0	6848
WARS1	P23381	471	0	43015
PAX7	P23759	505	0	118020
NPY1R	P25929	384	0	20870
ADSL	P30566	484	0	44002
STAT1	P42224	750	0	112500
PAPOLA	P51003	745	1	65683
RAB7A	P51149	207	1	132273
APLP1	P51693	650	0	11904
PDX1	P52945	283	0	6313
CMC4	P56277	68	0	9514
RHBDL3	P58872	404	0	58827
MVK	Q03426	396	0	24870
USP17L24	Q0WX57	530	0	1592
STAT4	Q14765	748	0	148859
RPS6KA2	Q15349	733	0	497087
TRIP4	Q15650	581	1	67555
SLC1A5	Q15758	541	0	13711
LGALS9B	Q3B8N2	356	0	18144
PIGY	Q3MUY2	71	0	2778
BOLA3	Q53S33	107	0	12512
HSP90AB2P	Q58FF8	381	0	-
CFAP157	Q5JU67	520	0	9014
LCE2C	Q5TA81	110	0	1290
H3-7	Q5TEC6	136	0	11433
MICOS10	Q5TGZ0	78	0	145418
None	Q5W150	140	0	-
