Genename	UniProtID	Length	Hk	genelength
apt	A0A0B4KGD0	499	0	34635
Mrp5	A0A0B4KGI0	1408	0	10261
CG31554	A0A0B4KGL2	427	0	5211
Dmel\CG43178	A0A0B4LF48	21	0	658
Dmel\CG45122	A0A0B4LH46	86	0	372
Dmel\CG13921	A0A4D6K3Y7	1129	0	5483
BubR1	A1Z6I7	1460	0	5286
Dmel\CG1701	A1Z6Y2	134	0	1014
Dmel\CG13151	A1Z917	604	0	1909
PIG-O	A1ZB84	1077	1	3912
CG34384	A8JQ65	1895	0	41031
CG42374	B7Z073	129	1	3072
Dmel\CG42634	E1JHK5	114	0	1027
Dmel\CG42554	E1JHX0	213	1	1087
Dmel\CG42489	E1JIF0	77	0	964
GS	M9NFH8	2115	1	20158
Rbp9	M9PBZ2	684	0	13672
Dmel\CG10508	M9PFU5	733	0	5836
AP-2mu	O62530	437	1	2148
Ccp84Af	O97063	151	0	637
ng1	P23938	107	0	522
Snoo	Q00G30	1223	0	93009
CG43427	Q0KIC3	1372	0	52614
Elp5	Q24050	262	1	1466
Usp47	Q24574	1556	1	8913
CG13904	Q2PE08	355	0	1392
Dmel\CG33923	Q4ABI4	178	0	730
Dmel\CG14483	Q4QPR8	82	1	1099
Dmel\CG18765	Q4V4D1	393	0	1413
Dmel\CG34301	Q6IKG0	85	0	375
PRAS40	Q7JXA2	562	0	16125
Dmel\CG8321	Q7K0Q0	207	1	2314
sut1	Q7KK97	507	1	4175
Dmel\CG33333	Q7KSF2	148	0	575
Ste:CG33236	Q7KV12	172	0	723
CG8473	Q86B52	1690	0	5811
Acph-1	Q8I0P9	455	0	2267
CG13036	Q8IQN7	833	0	9323
NSD	Q8MT36	1427	1	4871
Dmel\CG30461	Q8MTA6	225	0	2603
spn-D	Q8SZ30	270	0	1406
Dmel\CG5662	Q8T4F2	292	0	1081
BcDNA:AT12868	Q8T908	497	0	1845
GluClalpha	Q94900	456	0	44516
fax	Q95RI5	418	1	9032
Dmel\CG18788	Q9I7N1	540	0	1941
Dmel\CG11158	Q9I7S2	344	0	1664
anon-35Fc	Q9V3I6	227	1	1497
wds	Q9V3J8	361	1	2237
CG7639	Q9V784	443	1	4570
Dmel\CG31098	Q9VBT1	417	1	1607
tok	Q9VC47	1464	1	29428
Dmel\CG6738	Q9VCQ8	401	0	1450
Jhbp15	Q9VDF6	245	0	961
trem	Q9VDQ4	439	0	1749
Xport-A	Q9VDS3	116	0	1016
Dmel\CG5835	Q9VDZ9	237	1	5054
Wdr37	Q9VE73	487	1	2343
glob1	Q9VF15	153	0	7717
Dmel\CG8087	Q9VFI5	142	0	482
Dmel\CG12538	Q9VFU4	194	0	584
SdhCL	Q9VGT9	261	0	1035
GstZ2	Q9VHD2	227	0	3837
ScpX	Q9VJ43	544	0	2401
Nubp1	Q9VJI9	311	1	1074
Gr33a	Q9VKA5	475	0	2384
Dmel\CG18666	Q9VKK9	127	0	513
Dmel\CG4537	Q9VL77	97	1	451
gi21430616	Q9VLG3	663	0	3092
strat	Q9VLP3	122	1	957
Dmel\CG13984	Q9VMF5	100	0	656
RpL35A	Q9VNB9	157	1	1471
Obp83cd	Q9VNL1	242	0	1599
Osi13	Q9VNN5	210	0	1752
Dmel\CG5561	Q9VQ02	305	0	1139
Dmel\CG16995	Q9VQA7	146	0	924
Sr-CIV	Q9VQS2	406	0	1535
akirin	Q9VS59	201	1	3868
smid	Q9VS62	944	0	4023
Dmel\CG8563	Q9VS64	440	0	5271
msk	Q9VSD6	1049	1	5400
pix	Q9VSS1	611	1	2709
BcDNA:RH51268	Q9VW17	182	0	2487
Dmel\CG14194	Q9VWK7	358	1	2482
Dm	Q9VY06	726	0	10939
Mrgn1	Q9VY98	789	0	3243
Syt12	Q9VYE1	787	0	8931
Kap3	Q9VZ07	1038	1	5897
CG13703	Q9VZ79	911	0	3023
PIG-B	Q9VZM5	561	1	2695
ACXD	Q9W038	1162	0	6111
Nplp1	Q9W0W6	309	0	8000
CT12588	Q9W0X9	219	0	1497
yellow-d	Q9W1R1	432	0	1865
Dmel\CG9896	Q9W1W4	253	0	5215
Alp8	Q9W273	533	0	2301
Pdpr	Q9W4K8	939	1	4719
frag7	Q9W4U9	249	0	839
Ilp6	Q9W4Z4	107	0	3165
Dmel\CG5946	X2JGK6	330	0	5580
Dmel\CG14693	A0A0B4KGS5	586	0	3466
Dmel\CG31140	A0A0B4KHZ4	1571	0	20052
Dmel\CG13606	A0A0B4LIJ3	134	0	11516
CG17341	A0A1W5PXH3	1237	0	56497
Cpr47Ea	A1Z8H1	135	0	1647
Dmel\CG30076	A1Z9R9	475	0	2222
CG32422	A8JNC9	572	0	7332
Hasp	B7YZX0	1677	0	8251
Dmel\CG43218	C6SUT0	182	0	738
CG8907-RB	H9ZYQ1	732	0	4264
chr2L_10724193_10724543.0	M9MRT1	351	0	4537
Dmel\CG34031	M9NDG6	219	0	11304
Ac13E	M9PEP2	1703	0	43401
Dmel\CG10352	M9PJJ5	315	0	1862
mbl	O16011	297	1	162827
Est-P	P18167	544	0	1795
sgg	P18431	514	1	45601
RpS3A	P55830	268	0	1982
FucTC	P83088	425	0	2537
mGluR	P91685	976	0	12622
VhaAC45RP	Q0KHY8	423	1	1727
CG15086	Q1RKX9	721	0	2545
Acp1	Q26416	135	0	975
Dmel\CG33966	Q2MGL8	310	0	1290
Dmel\CG33654	Q4AB39	168	0	707
upd3	Q59E38	401	0	7363
Dmel\CG34164	Q6IHN1	106	0	1903
nonC	Q70PP2	3218	1	13626
ND-15	Q7K1C0	101	0	41304
Dmel\CG8569	Q7K264	608	0	2458
Dmel\CG12974	Q7KTW4	363	0	4210
Ste:CG33243	Q7KV19	172	0	723
Hibch	Q86BP1	386	1	2034
pgant11	Q8IA41	557	0	1812
Ndae1	Q8IPI3	1190	0	26015
Dis3l2	Q8IRJ7	1044	0	3770
Dmel\CG32719	Q8IRP4	1220	0	39341
LBR	Q8MLV1	741	0	3560
Dmel\CG7071	Q8SXS0	302	0	1960
Dmel\CG1924	Q9I7S9	570	0	2186
Dmel\CG10862	Q9I7T6	354	0	1366
FeCh	Q9V9S8	384	0	1836
Sas-6	Q9VAC8	472	0	1677
Dmel\CG3348	Q9VB45	98	1	674
DmelL1	Q9VB88	341	0	1141
Dmel\CG6283	Q9VB90	339	0	1140
dysf	Q9VBH3	920	0	22119
Syx18	Q9VC58	395	1	1760
Dmel\CG5377	Q9VD00	278	1	1252
Oga	Q9VDC9	1019	1	3766
BcDNA:AT09463	Q9VDT4	181	1	2373
cona	Q9VE78	207	0	1059
Mpi	Q9VH77	396	1	1586
anon-WO0118547.344	Q9VHN7	626	1	5834
TU37B1	Q9VJ08	810	1	4743
Faf2	Q9VJ58	464	0	2678
Dmel\CG31806	Q9VJF8	151	0	656
NimB5	Q9VJU6	315	0	1996
A16	Q9VK43	376	1	1737
Cog8	Q9VKH0	570	1	2144
Dmel\CG14072	Q9VKM9	121	0	1269
gny	Q9VKX7	475	0	2761
Sirup	Q9VLU6	118	1	807
Dmel\CG5958	Q9VM12	294	1	2986
tctn	Q9VMH0	657	0	2779
Osi11	Q9VNN1	302	0	1166
IntS14	Q9VPY0	587	0	1982
colt	Q9VQG4	306	1	1479
Paris	Q9VR05	346	0	1464
Cralbp	Q9VRP8	324	0	3503
Cln7	Q9VS51	546	1	3299
BcDNA:RE24439	Q9VSG0	128	0	812
galla-2	Q9VTC4	156	1	683
Dmel\CG10749	Q9VU29	347	0	1176
FOHSDR	Q9VU92	252	0	2043
CG8745	Q9VU95	494	0	6878
dlp	Q9VUG1	765	1	39008
Mgat4a	Q9VUH4	587	1	5675
Dmel\CG13461	Q9VUJ9	137	0	559
Eig71Ef	Q9VUS9	98	0	735
Dmel\CG13053	Q9VV03	91	0	685
Dmel\CG13050	Q9VV14	143	0	813
BcDNA:AT27312	Q9VV33	124	0	705
Cyp312a1	Q9VVN6	510	0	3749
Ubr1	Q9VX91	1824	1	12447
hang	Q9VXG1	1959	1	15623
Dmel\CG10996	Q9VY83	392	0	1249
Dmel\CG2574	Q9VYN3	239	0	964
stet	Q9W0E9	485	0	14109
BEST:GH04269	Q9W1A7	389	0	1961
Dmel\CG5339	Q9W1H1	305	1	1350
ytr	Q9W1I6	194	1	4319
Dmel\CG12782	Q9W1T0	336	0	1274
Ir7b	Q9W3P4	655	0	2020
raptor	Q9W437	1621	1	7567
dgt4	Q9W4M8	188	0	1228
mdcds_59461	Q9W4N1	233	0	1677
Dmel\CG14270	Q9W4R8	191	1	773
MED18	Q9XZT1	217	1	978
Taf10b	Q9XZT7	146	1	559
Dmel\CG43318	A0A0B4K7B4	172	0	724
qkr54B	A0A0B4KFT9	617	0	5505
Dmel\CG8180	A0A0B4LFF6	594	0	10659
NEST:bs04e10	A0A0B4LG03	185	0	1343
Fer2	A0A0B4LH78	283	0	1943
CG13004-5'utr	A0A1Z1CLY5	30	0	8839
bru3	A0A6M3Q6L8	552	0	281493
bma	A0A6M3Q8Y2	943	0	59178
Dmel\CG9067	A1Z8I0	138	1	790
Dolk	A1ZAI1	503	1	2139
Dnaaf3	A1ZB91	540	0	1725
GEFmeso	A1ZBA1	1549	0	57658
Tlk	B7Z126	1489	0	69763
Dmel\CG42531	E1JH38	134	0	780
Dmel\CG17636	M9NFP5	585	0	2344
Cyp4ae1	O46054	496	0	1991
RpS21	O76927	83	1	959
Hsp22	P02515	174	0	2033
CycA	P14785	491	1	6859
BicD	P16568	782	1	13610
Plc21C	P25455	1318	1	49631
bnb	P29746	442	1	3441
nub	P31368	601	0	40510
bnk	P40794	303	0	1027
Arf4	P40945	180	1	1158
Taf6	P49847	606	1	2294
IM18	P82701	71	0	859
Xpc	Q24595	1293	1	6729
Dmel\CG34457	Q4V4V0	308	0	1510
olf413	Q6NP60	760	0	111612
jagn	Q7K1V5	197	1	1993
Rpn13	Q7K2G1	389	1	1859
E23	Q7KU30	1017	0	19954
Remo	Q7KV24	1797	0	6382
Dmel\CG1628	Q7KVQ8	459	0	4568
Bckdhb	Q7PLE6	364	1	5973
Tim17b	Q7PLT4	173	1	10451
Akt	Q8INB9	611	1	6442
nxf4	Q8INS6	301	0	1106
Dmel\CG32246	Q8IRA7	565	0	1766
CG3760	Q8MMC4	271	1	1588
Reph	Q8MRQ2	401	1	7126
tyn	Q8MS37	715	0	60345
anon-WO0140519.77	Q8SZV0	617	0	2667
NEST:bs14h12	Q8T959	52	0	493
CG8054	Q961H2	507	1	3252
cic	Q9U1H0	1832	1	51172
SF2	Q9V3W7	255	1	3045
CAH5	Q9V9Y6	302	0	1280
CG13980	Q9VB40	1555	0	31952
Dmel\CG11791	Q9VBZ0	181	1	3458
CG13609	Q9VCB1	364	0	1515
CG5902	Q9VCF0	243	1	2096
Dmel\CG13850	Q9VD14	564	1	2349
Dmel\CG6678	Q9VD63	373	0	20153
e	Q9VDC6	879	0	7338
Dmel\CG17271	Q9VDI5	281	0	2719
