Genename	UniProtID	Length	Hk	genelength
ILV1	P00927	576	0	1730
RPL28	P02406	149	1	960
Q0255	P03881	472	0	1489
HEM2	P05373	342	1	1028
SPS1	P08458	490	0	1472
GCD1	P09032	578	1	1736
YBL039W-B	P0C268	59	0	179
SSC1	P0CS90	654	1	1964
YHR214W	P0CX19	203	0	611
KAR3	P17119	729	0	2189
VMA1	P17255	1071	0	3215
PRP4	P20053	465	1	1397
SIT4	P20604	311	0	935
SIR1	P21691	654	0	1964
SPO13	P23624	291	1	875
PRE9	P23638	258	0	776
ERG6	P25087	383	0	1151
CNB1	P25296	175	0	603
YCR006C	P25350	157	0	473
RRP7	P25368	297	1	893
PEX34	P25584	144	0	434
SRB8	P25648	1427	0	4283
URK1	P27515	501	0	1505
SSE2	P32590	693	0	2081
YSC83	P32792	385	0	1157
DUR3	P33413	735	0	2207
MTR2	P34232	184	1	554
MIF2	P35201	549	1	1649
YNK1	P36010	153	0	461
SPC42	P36094	363	1	1091
AUR1	P36107	401	1	1205
OMA1	P36163	345	0	1037
SHM1	P37292	490	0	1472
ADH5	P38113	351	0	1055
PCS60	P38137	543	0	1631
POA1	P38218	177	0	533
IMD2	P38697	523	0	1571
TDA3	P38758	523	0	1571
CHL4	P38907	458	0	1376
HSP10	P38910	106	1	320
RRP8	P38961	392	0	1178
PNT1	P38969	423	0	1271
LYS1	P38998	373	0	1121
YMR124W	P39523	943	0	2831
GTT3	P39996	337	0	1013
LRO1	P40345	661	0	1985
SIM1	P40472	476	0	1430
MOB1	P40484	314	1	1029
FYV10	P40492	516	0	1550
YIL086C	P40503	102	0	308
PCI8	P40512	444	0	1334
EPS1	P40557	701	0	2105
YPS6	P40583	537	0	1613
SNM1	P40993	198	0	596
EMW1	P42842	904	1	2714
LSB6	P42951	607	0	1823
YFL064C	P43540	174	0	524
YPI1	P43587	155	1	467
TY1B-JR1	P47098	1755	0	-
NPA3	P47122	385	1	1157
YJR085C	P47131	105	0	317
RSM26	P47141	266	0	800
NNF1	P47149	201	1	605
UPF3	P48412	387	0	1163
COS10	P52924	374	0	1124
STR3	P53101	465	0	1397
YBP2	P53169	641	0	1925
EFM5	P53200	248	0	901
YAP1802	P53309	568	0	1706
RTT102	P53330	157	0	473
DCP2	P53550	970	1	2912
HDA1	P53973	706	0	2120
ERI1	P62651	68	0	206
GCR2	Q01722	534	0	1604
MAK10	Q02197	733	0	2201
PNG1	Q02890	363	0	1091
SGF11	Q03067	99	0	299
ERO1	Q03103	563	1	1691
EAR1	Q03212	550	0	1652
YML108W	Q03759	105	0	317
RSM24	Q03976	319	0	959
SNX41	Q04053	625	0	1877
PPM1	Q04081	328	0	986
VTI1	Q04338	217	1	653
AGE1	Q04412	482	0	1448
ENT2	Q05785	613	0	1841
CDA1	Q06702	301	0	905
SUB2	Q07478	446	1	1340
ENT4	Q07872	247	0	743
RLP24	Q07915	199	1	599
ULS1	Q08562	1619	0	4859
DGA1	Q08650	418	0	1256
ISA2	Q12425	185	0	557
EAF3	Q12432	401	0	1205
SPO24	Q3E752	67	0	203
YOR316C-A	Q3E806	69	0	209
COA2	Q3E823	68	0	206
YOR020W-A	Q3E824	90	0	272
SCS22	Q6Q595	175	0	615
MPD2	Q99316	277	0	833
VPS63	O13549	108	0	326
HIS1	P00498	297	0	893
PRT1	P06103	763	1	2291
CMD1	P06787	147	1	443
ADE57	P07244	802	0	2408
RAD2	P07276	1031	0	3095
CDC16	P09798	840	1	2522
YFR010W-A	P0C5N0	62	0	188
SPT15	P13393	240	1	722
IRA1	P18963	3092	1	9278
FPR1	P20081	114	0	344
SRP54	P20424	541	1	1625
TOM40	P23644	387	1	1163
CTR86	P25355	563	1	1691
VMA3	P25515	160	0	482
ATG22	P25568	528	0	1586
DAL80	P26343	269	0	809
KIP2	P28743	706	0	2120
ERG9	P29704	444	1	1334
MCM4	P30665	933	1	2801
GUT1	P32190	709	0	2129
MSB2	P32334	1306	0	3920
MET4	P32389	672	1	-
ERG1	P32476	496	1	1490
SUV3	P32580	737	0	2213
ABD1	P32783	436	1	1310
RIB7	P33312	244	1	734
CDC27	P38042	758	1	2276
APN2	P38207	520	0	1562
YBR027C	P38220	110	0	332
TOS1	P38288	455	0	1367
YBR287W	P38355	427	0	1283
ECM34	P38728	170	0	512
NEL1	P38769	630	0	1892
VMA22	P38784	181	0	545
TRA1	P38811	3744	0	11234
YHR127W	P38833	243	0	731
IPT1	P38954	527	0	1583
YAR068W	P39564	161	0	485
GIP2	P40036	548	0	1646
SLZ1	P40167	298	0	896
YIL165C	P40446	119	0	359
RRD1	P40454	393	0	1181
HIS6	P40545	261	0	785
VTH2	P40890	1549	0	4649
YJL218W	P40892	196	0	590
QRI1	P43123	477	1	1433
SNZ3	P43545	298	0	896
YFL040W	P43562	540	0	1622
CHA4	P43634	648	0	1946
BNA3	P47039	444	0	1334
IRC8	P47046	822	0	2468
RAV1	P47104	1357	0	4073
VPS25	P47142	202	0	608
ASK10	P48361	1146	0	3440
BXI1	P48558	297	0	893
MRX6	P48564	524	0	1574
ATG1	P53104	897	1	2693
MMS2	P53152	137	0	498
PIB2	P53191	635	0	1907
PCP1	P53259	346	0	1040
YGR151C	P53287	111	0	335
MKC7	P53379	596	0	1790
ALG12	P53730	551	0	1655
YNR068C	P53754	272	0	818
YNL115C	P53925	644	0	1934
YNL034W	P53963	612	0	1838
PRP38	Q00723	242	1	728
MRS2	Q01926	470	0	1412
UBP16	Q02863	499	0	1499
YDR042C	Q03205	200	0	602
RPN4	Q03465	531	0	1595
TRM732	Q03496	1420	0	4262
GIR2	Q03768	265	0	797
YDR179W-A	Q03983	463	0	1391
THI74	Q04083	370	0	1112
PDR15	Q04182	1529	0	4589
VMS1	Q04311	632	0	1898
YHC1	Q05900	231	1	695
LSM6	Q06406	86	0	260
ERF2	Q06551	359	0	1079
YDR306C	Q06640	478	0	1436
YFT2	Q06676	274	0	824
OPY2	Q06810	360	0	1082
MRL1	Q06815	381	0	1145
ADY3	Q07732	790	0	2372
IRC25	Q07951	179	0	539
PAU23	Q07987	124	0	374
YOL014W	Q08110	124	0	374
PEX15	Q08215	383	0	1151
GRE1	Q08969	168	0	506
YDL211C	Q12121	372	0	1118
RLM1	Q12224	676	0	2030
YPR011C	Q12251	326	0	980
NDJ1	Q12366	352	0	1058
POM34	Q12445	299	0	899
YNL277W-A	Q3E7Z0	62	0	188
NOP10	Q6Q547	58	1	176
YOS9	Q99220	542	0	1628
MED11	Q99278	115	1	-
CHO2	P05374	869	0	2609
RPS14A	P06367	137	0	720
SPT3	P06844	337	0	1013
HTS1	P07263	546	1	1640
YOL083C-A	P0C5R4	46	0	140
PAU21	P0CE86	164	0	494
RPL2A	P0CX45	254	0	1164
RPS11A	P0CX47	156	0	981
