Genename	Uniprot_id	Length	Polyx_count	Polyx_types	Polyx_lengths	Total_length	Pption_polyx	Count_grouped	Hk
Trdv2-1	A0A075B658	115	0	-	0	0	0	0	0
Igkv8-21	A0A140T8P7	120	0	-	0	0	0	0	0
Btbd35f21	A0A140T8Q5	498	0	-	0	0	0	0	0
Cdr2l	A2A6T1	465	0	-	0	0	0	0	0
Pramel29	A2A958	498	0	-	0	0	0	0	0
Patl2	A2ARM1	529	0	-	0	0	0	0	0
Ugt1a5	B2RT14	529	0	-	0	0	0	0	0
Mroh2a	D3Z750	1679	0	-	0	0	0	0	0
Galntl6	E5D8G1	601	0	-	0	0	0	0	0
Nolc1	E9Q5C9	702	4	S/S/S/E	11/10/14/13	48	0.0684	4	1
Or8b43	E9Q6Z7	309	0	-	0	0	0	0	0
Gm5849	J3QPE5	117	0	-	0	0	0	0	0
1700020N15Rik	L7MTX3	112	0	-	0	0	0	0	0
Gata2	O09100	480	0	-	0	0	0	0	0
Adam10	O35598	749	0	-	0	0	0	0	0
None	P01629	112	0	-	0	0	0	0	0
None	P01637	128	0	-	0	0	0	0	0
None	P01667	111	0	-	0	0	0	0	0
None	P01670	111	0	-	0	0	0	0	0
None	P01671	111	0	-	0	0	0	0	0
None	P01672	111	0	-	0	0	0	0	0
None	P01724	129	0	-	0	0	0	0	0
None	P01727	129	0	-	0	0	0	0	0
None	P01746	140	0	-	0	0	0	0	0
None	P01811	117	0	-	0	0	0	0	0
None	P01851	173	0	-	0	0	0	0	0
None	P03976	113	0	-	0	0	0	0	0
None	P03985	172	0	-	0	0	0	0	0
Prl7d1	P04769	244	0	-	0	0	0	0	0
None	P06323	132	0	-	0	0	0	0	0
Ccl2	P10148	148	0	-	0	0	0	0	0
Enpep	P16406	945	0	-	0	0	0	0	0
Gjc1	P28229	396	0	-	0	0	0	0	0
Ftl2	P49945	183	0	-	0	0	0	0	0
Nat2	P50295	290	0	-	0	0	0	0	0
Plp1	P60202	277	0	-	0	0	0	0	0
Snap25	P60879	206	0	-	0	0	0	0	0
Smg6	P61406	1418	0	-	0	0	0	0	0
Rab11a	P62492	216	0	-	0	0	0	0	1
Mpc1	P63030	109	0	-	0	0	0	0	0
Traf5	P70191	558	0	-	0	0	0	0	0
Masp1	P98064	704	0	-	0	0	0	0	0
Runx1	Q03347	451	0	-	0	0	0	0	0
Fam98a	Q3TJZ6	515	0	-	0	0	0	0	1
Nt5c3b	Q3UFY7	300	0	-	0	0	0	0	0
Rmi2	Q3UPE3	149	0	-	0	0	0	0	0
Wfdc6a	Q3UW55	136	0	-	0	0	0	0	0
Zfp729a	Q4QQP3	973	0	-	0	0	0	0	0
Pabpn1l	Q5XFR0	273	0	-	0	0	0	0	0
Gli3	Q61602	1583	0	-	0	0	0	0	0
Nfe2l1	Q61985	741	1	S	25	25	0.0337	1	1
Krtap5-1	Q64507	230	0	-	0	0	0	0	0
Dnah17	Q69Z23	4481	0	-	0	0	0	0	0
Fndc3c1	Q6DFV6	1356	0	-	0	0	0	0	0
Colgalt2	Q6NVG7	625	0	-	0	0	0	0	0
Rbm26	Q6NZN0	1012	1	P	11	11	0.0109	1	1
Adat2	Q6P6J0	191	0	-	0	0	0	0	1
Lrit2	Q6PFC5	549	0	-	0	0	0	0	0
Mlec	Q6ZQI3	291	2	L/E	11/14	25	0.0859	2	1
Tas2r116	Q7M713	305	0	-	0	0	0	0	0
Kirrel2	Q7TSU7	700	0	-	0	0	0	0	0
Rpap1	Q80TE0	1409	0	-	0	0	0	0	0
Znf423	Q80TS5	1292	0	-	0	0	0	0	0
Bdh1	Q80XN0	343	0	-	0	0	0	0	0
Muc2	Q80Z19	4576	0	-	0	0	0	0	0
Amigo1	Q80ZD8	492	0	-	0	0	0	0	0
9930022D16Rik	Q8BG27	128	0	-	0	0	0	0	0
Atcay	Q8BHE3	372	0	-	0	0	0	0	0
Hhat	Q8BMT9	499	0	-	0	0	0	0	0
Sall4	Q8BX22	1067	0	-	0	0	0	0	0
Znf641	Q8BZ34	422	0	-	0	0	0	0	0
Gnl3	Q8CI11	538	0	-	0	0	0	0	1
Trhde	Q8K093	1066	1	K	13	13	0.0122	1	0
Polr1e	Q8K202	482	0	-	0	0	0	0	0
Fev	Q8QZW2	237	2	A/A	16/10	26	0.1097	2	0
Vmn1r37	Q8R2E4	302	0	-	0	0	0	0	0
None	Q8R3Y5	413	0	-	0	0	0	0	0
Krt79	Q8VED5	531	0	-	0	0	0	0	0
Or5b119	Q8VEV6	314	0	-	0	0	0	0	0
Pcdhb10	Q91VE5	797	0	-	0	0	0	0	0
Bzw2	Q91VK1	419	0	-	0	0	0	0	1
Adgra2	Q91ZV8	1336	0	-	0	0	0	0	0
Hadhb	Q99JY0	475	0	-	0	0	0	0	0
Ms4a6c	Q99N08	217	0	-	0	0	0	0	0
Sytl1	Q99N80	567	0	-	0	0	0	0	0
Cotl1	Q9CQI6	142	0	-	0	0	0	0	0
Atp5pb	Q9CQQ7	256	0	-	0	0	0	0	0
Atg12	Q9CQY1	141	0	-	0	0	0	0	1
Pip4p2	Q9CZX7	257	0	-	0	0	0	0	0
Rab1b	Q9D1G1	201	0	-	0	0	0	0	1
Grifin	Q9D1U0	144	0	-	0	0	0	0	0
Snrnp48	Q9D361	337	0	-	0	0	0	0	1
Srp19	Q9D7A6	144	0	-	0	0	0	0	0
Kel	Q9EQF2	713	0	-	0	0	0	0	0
Cdk20	Q9JHU3	346	0	-	0	0	0	0	0
Pus3	Q9JI38	481	0	-	0	0	0	0	1
Phtf1	Q9QZ09	761	0	-	0	0	0	0	0
Ctsz	Q9WUU7	306	0	-	0	0	0	0	0
Palm	Q9Z0P4	383	0	-	0	0	0	0	0
Ror2	Q9Z138	944	0	-	0	0	0	0	0
Igkv5-39	A0A075B5M7	95	0	-	0	0	0	0	0
Trav6-1	A0A075B5Z8	112	0	-	0	0	0	0	0
Frmpd2	A0A140LI67	1392	0	-	0	0	0	0	0
Gm45871	A0A1B0GRI9	540	0	-	0	0	0	0	0
Gm17655	A0A1B0GT13	591	0	-	0	0	0	0	0
Gm7592	A0A668KLT6	296	0	-	0	0	0	0	0
Krtap4-26	A2A4L9	201	0	-	0	0	0	0	0
Cplane2	A2A825	258	0	-	0	0	0	0	0
Dnajc25	A2ALW5	357	0	-	0	0	0	0	0
H2al1j	A2BFR3	109	0	-	0	0	0	0	0
Ttll3	A4Q9E5	927	0	-	0	0	0	0	0
Krtap4-24	B1AQ89	175	0	-	0	0	0	0	0
Rhox3g	B9EJQ9	160	0	-	0	0	0	0	0
Spata31f1d	C0HKD3	1308	0	-	0	0	0	0	0
Ubap1l	G3UW59	384	1	E	19	19	0.0495	1	0
Or52z13	K7N6B3	318	0	-	0	0	0	0	0
Polr1a	O35134	1717	1	E	17	17	0.0099	1	1
Slc1a4	O35874	532	0	-	0	0	0	0	0
Ninj1	O70131	152	0	-	0	0	0	0	0
Wiz	O88286	1684	0	-	0	0	0	0	0
Myc	P01108	454	0	-	0	0	0	0	0
Krt1	P04104	637	1	G	17	17	0.0267	1	0
Rras	P10833	218	0	-	0	0	0	0	0
Npr1	P18293	1057	1	L	10	10	0.0095	1	0
Ces1c	P23953	554	0	-	0	0	0	0	0
Thrb	P37242	461	0	-	0	0	0	0	0
Fabp2	P55050	132	0	-	0	0	0	0	0
Npy	P57774	97	0	-	0	0	0	0	0
Nrgn	P60761	78	0	-	0	0	0	0	0
Morf4l1	P60762	362	0	-	0	0	0	0	1
Ube2h	P62257	183	0	-	0	0	0	0	0
Oas1f	Q14AZ4	364	0	-	0	0	0	0	0
Fam219b	Q14DQ1	197	0	-	0	0	0	0	1
Rspo3	Q2TJ95	277	0	-	0	0	0	0	0
Defb47	Q30KN1	79	0	-	0	0	0	0	0
Hk3	Q3TRM8	922	0	-	0	0	0	0	0
Shld2	Q3UEN2	891	0	-	0	0	0	0	0
Cep63	Q3UPP8	700	0	-	0	0	0	0	1
Cdh12	Q5RJH3	794	0	-	0	0	0	0	0
