Genename	Uniprot_id	Length	Polyx_count	Polyx_types	Polyx_lengths	Total_length	Pption_polyx	Count_grouped	Hk
IGKJ5	A0A0A0MTA3	13	0	-	0	0	0	0	0
TCAF2	A6NFQ2	919	0	-	0	0	0	0	0
None	A6NJR5	290	0	-	0	0	0	0	0
RTL1	A6NKG5	1358	0	-	0	0	0	0	0
None	A6NL46	340	0	-	0	0	0	0	0
None	A6NNC1	897	1	S	9	9	0.01	1	0
None	A8MV72	311	0	-	0	0	0	0	0
None	A8MVM7	634	0	-	0	0	0	0	0
DCDC1	M0R2J8	1783	0	-	0	0	0	0	0
TRANK1	O15050	2925	1	E	12	12	0.0041	1	0
KLK10	O43240	276	0	-	0	0	0	0	0
MED7	O43513	233	0	-	0	0	0	0	0
CLPX	O76031	633	0	-	0	0	0	0	1
MYO1D	O94832	1006	0	-	0	0	0	0	0
MICAL2	O94851	1957	2	P/S	14/11	25	0.0128	2	0
CTDNEP1	O95476	244	0	-	0	0	0	0	1
SEC24B	O95487	1268	1	E	9	9	0.0071	1	1
IFNB1	P01574	187	0	-	0	0	0	0	0
TF	P02787	698	0	-	0	0	0	0	0
CDK1	P06493	297	0	-	0	0	0	0	0
LPL	P06858	475	0	-	0	0	0	0	0
MMP3	P08254	477	0	-	0	0	0	0	0
FRMD6-AS1	P0C7T7	363	0	-	0	0	0	0	0
TMSB15C	P0DX04	45	0	-	0	0	0	0	0
ATP1B2	P14415	290	0	-	0	0	0	0	0
FOSL1	P15407	271	0	-	0	0	0	0	0
CYP2B6	P20813	491	0	-	0	0	0	0	0
S1PR1	P21453	382	0	-	0	0	0	0	0
WARS1	P23381	471	0	-	0	0	0	0	0
PAX7	P23759	505	0	-	0	0	0	0	0
NPY1R	P25929	384	0	-	0	0	0	0	0
ADSL	P30566	484	0	-	0	0	0	0	0
STAT1	P42224	750	0	-	0	0	0	0	0
PAPOLA	P51003	745	0	-	0	0	0	0	1
RAB7A	P51149	207	0	-	0	0	0	0	1
APLP1	P51693	650	1	L	12	12	0.0185	1	0
PDX1	P52945	283	1	P	10	10	0.0353	1	0
CMC4	P56277	68	0	-	0	0	0	0	0
RHBDL3	P58872	404	0	-	0	0	0	0	0
MVK	Q03426	396	0	-	0	0	0	0	0
USP17L24	Q0WX57	530	0	-	0	0	0	0	0
STAT4	Q14765	748	0	-	0	0	0	0	0
RPS6KA2	Q15349	733	0	-	0	0	0	0	0
TRIP4	Q15650	581	0	-	0	0	0	0	1
SLC1A5	Q15758	541	0	-	0	0	0	0	0
LGALS9B	Q3B8N2	356	0	-	0	0	0	0	0
PIGY	Q3MUY2	71	0	-	0	0	0	0	0
BOLA3	Q53S33	107	0	-	0	0	0	0	0
HSP90AB2P	Q58FF8	381	0	-	0	0	0	0	0
CFAP157	Q5JU67	520	0	-	0	0	0	0	0
LCE2C	Q5TA81	110	0	-	0	0	0	0	0
H3-7	Q5TEC6	136	0	-	0	0	0	0	0
MICOS10	Q5TGZ0	78	0	-	0	0	0	0	0
None	Q5W150	140	0	-	0	0	0	0	0
RUFY4	Q6ZNE9	571	0	-	0	0	0	0	0
DBX2	Q6ZNG2	339	0	-	0	0	0	0	0
