Genename	Uniprot_id	Length	Polyx_count	Polyx_types	Polyx_lengths	Total_length	Pption_polyx	Count_grouped	Hk
ILV1	P00927	576	0	-	0	0	0	0	0
RPL28	P02406	149	0	-	0	0	0	0	1
Q0255	P03881	472	1	N	10	10	0.0212	1	0
HEM2	P05373	342	0	-	0	0	0	0	1
SPS1	P08458	490	0	-	0	0	0	0	0
GCD1	P09032	578	0	-	0	0	0	0	1
YBL039W-B	P0C268	59	0	-	0	0	0	0	0
SSC1	P0CS90	654	1	N	13	13	0.0199	1	1
YHR214W	P0CX19	203	0	-	0	0	0	0	0
KAR3	P17119	729	0	-	0	0	0	0	0
VMA1	P17255	1071	0	-	0	0	0	0	0
PRP4	P20053	465	0	-	0	0	0	0	1
SIT4	P20604	311	0	-	0	0	0	0	0
SIR1	P21691	654	0	-	0	0	0	0	0
SPO13	P23624	291	0	-	0	0	0	0	1
PRE9	P23638	258	0	-	0	0	0	0	0
ERG6	P25087	383	0	-	0	0	0	0	0
CNB1	P25296	175	0	-	0	0	0	0	0
YCR006C	P25350	157	0	-	0	0	0	0	0
RRP7	P25368	297	0	-	0	0	0	0	1
PEX34	P25584	144	0	-	0	0	0	0	0
SRB8	P25648	1427	0	-	0	0	0	0	0
URK1	P27515	501	0	-	0	0	0	0	0
SSE2	P32590	693	0	-	0	0	0	0	0
YSC83	P32792	385	0	-	0	0	0	0	0
DUR3	P33413	735	0	-	0	0	0	0	0
MTR2	P34232	184	0	-	0	0	0	0	1
MIF2	P35201	549	0	-	0	0	0	0	1
YNK1	P36010	153	0	-	0	0	0	0	0
SPC42	P36094	363	0	-	0	0	0	0	1
AUR1	P36107	401	0	-	0	0	0	0	1
OMA1	P36163	345	0	-	0	0	0	0	0
SHM1	P37292	490	0	-	0	0	0	0	0
ADH5	P38113	351	0	-	0	0	0	0	0
PCS60	P38137	543	0	-	0	0	0	0	0
POA1	P38218	177	0	-	0	0	0	0	0
IMD2	P38697	523	0	-	0	0	0	0	0
TDA3	P38758	523	0	-	0	0	0	0	0
CHL4	P38907	458	0	-	0	0	0	0	0
HSP10	P38910	106	0	-	0	0	0	0	1
RRP8	P38961	392	0	-	0	0	0	0	0
PNT1	P38969	423	0	-	0	0	0	0	0
LYS1	P38998	373	0	-	0	0	0	0	0
YMR124W	P39523	943	2	Q/Q	8/11	19	0.0201	2	0
GTT3	P39996	337	0	-	0	0	0	0	0
LRO1	P40345	661	0	-	0	0	0	0	0
SIM1	P40472	476	2	S/S	11/24	35	0.0735	2	0
MOB1	P40484	314	0	-	0	0	0	0	1
FYV10	P40492	516	0	-	0	0	0	0	0
YIL086C	P40503	102	0	-	0	0	0	0	0
PCI8	P40512	444	0	-	0	0	0	0	0
EPS1	P40557	701	0	-	0	0	0	0	0
YPS6	P40583	537	0	-	0	0	0	0	0
SNM1	P40993	198	0	-	0	0	0	0	0
EMW1	P42842	904	0	-	0	0	0	0	1
LSB6	P42951	607	0	-	0	0	0	0	0
YFL064C	P43540	174	0	-	0	0	0	0	0
YPI1	P43587	155	1	S	11	11	0.071	1	1
TY1B-JR1	P47098	1755	0	-	0	0	0	0	0
NPA3	P47122	385	0	-	0	0	0	0	1
YJR085C	P47131	105	0	-	0	0	0	0	0
RSM26	P47141	266	0	-	0	0	0	0	0
NNF1	P47149	201	0	-	0	0	0	0	1
UPF3	P48412	387	0	-	0	0	0	0	0
COS10	P52924	374	0	-	0	0	0	0	0
STR3	P53101	465	0	-	0	0	0	0	0
YBP2	P53169	641	0	-	0	0	0	0	0
EFM5	P53200	248	0	-	0	0	0	0	0
YAP1802	P53309	568	1	Q	10	10	0.0176	1	0
RTT102	P53330	157	0	-	0	0	0	0	0
DCP2	P53550	970	0	-	0	0	0	0	1
HDA1	P53973	706	0	-	0	0	0	0	0
ERI1	P62651	68	0	-	0	0	0	0	0
GCR2	Q01722	534	0	-	0	0	0	0	0
MAK10	Q02197	733	0	-	0	0	0	0	0
PNG1	Q02890	363	0	-	0	0	0	0	0
SGF11	Q03067	99	0	-	0	0	0	0	0
ERO1	Q03103	563	0	-	0	0	0	0	1
EAR1	Q03212	550	0	-	0	0	0	0	0
YML108W	Q03759	105	0	-	0	0	0	0	0
RSM24	Q03976	319	0	-	0	0	0	0	0
SNX41	Q04053	625	1	S	10	10	0.016	1	0
PPM1	Q04081	328	0	-	0	0	0	0	0
VTI1	Q04338	217	0	-	0	0	0	0	1
AGE1	Q04412	482	0	-	0	0	0	0	0
ENT2	Q05785	613	3	Q/Q/Q	10/13/17	40	0.0653	3	0
CDA1	Q06702	301	0	-	0	0	0	0	0
SUB2	Q07478	446	0	-	0	0	0	0	1
ENT4	Q07872	247	0	-	0	0	0	0	0
RLP24	Q07915	199	1	E	10	10	0.0503	1	1
ULS1	Q08562	1619	0	-	0	0	0	0	0
DGA1	Q08650	418	0	-	0	0	0	0	0
ISA2	Q12425	185	0	-	0	0	0	0	0
EAF3	Q12432	401	0	-	0	0	0	0	0
SPO24	Q3E752	67	0	-	0	0	0	0	0
YOR316C-A	Q3E806	69	0	-	0	0	0	0	0
COA2	Q3E823	68	0	-	0	0	0	0	0
YOR020W-A	Q3E824	90	0	-	0	0	0	0	0
SCS22	Q6Q595	175	0	-	0	0	0	0	0
MPD2	Q99316	277	0	-	0	0	0	0	0
VPS63	O13549	108	0	-	0	0	0	0	0
HIS1	P00498	297	0	-	0	0	0	0	0
PRT1	P06103	763	0	-	0	0	0	0	1
CMD1	P06787	147	0	-	0	0	0	0	1
ADE57	P07244	802	0	-	0	0	0	0	0
RAD2	P07276	1031	0	-	0	0	0	0	0
CDC16	P09798	840	1	T	12	12	0.0143	1	1
YFR010W-A	P0C5N0	62	0	-	0	0	0	0	0
SPT15	P13393	240	0	-	0	0	0	0	1
IRA1	P18963	3092	1	N	13	13	0.0042	1	1
FPR1	P20081	114	0	-	0	0	0	0	0
SRP54	P20424	541	1	G	11	11	0.0203	1	1
TOM40	P23644	387	0	-	0	0	0	0	1
CTR86	P25355	563	0	-	0	0	0	0	1
VMA3	P25515	160	0	-	0	0	0	0	0
ATG22	P25568	528	0	-	0	0	0	0	0
DAL80	P26343	269	0	-	0	0	0	0	0
KIP2	P28743	706	0	-	0	0	0	0	0
ERG9	P29704	444	0	-	0	0	0	0	1
MCM4	P30665	933	0	-	0	0	0	0	1
GUT1	P32190	709	0	-	0	0	0	0	0
MSB2	P32334	1306	0	-	0	0	0	0	0
MET4	P32389	672	1	N	10	10	0.0149	1	1
ERG1	P32476	496	0	-	0	0	0	0	1
SUV3	P32580	737	0	-	0	0	0	0	0
ABD1	P32783	436	0	-	0	0	0	0	1
RIB7	P33312	244	0	-	0	0	0	0	1
CDC27	P38042	758	1	N	30	30	0.0396	1	1
APN2	P38207	520	0	-	0	0	0	0	0
YBR027C	P38220	110	0	-	0	0	0	0	0
TOS1	P38288	455	1	S	8	8	0.0176	1	0
YBR287W	P38355	427	0	-	0	0	0	0	0
ECM34	P38728	170	0	-	0	0	0	0	0
NEL1	P38769	630	0	-	0	0	0	0	0
VMA22	P38784	181	0	-	0	0	0	0	0
TRA1	P38811	3744	0	-	0	0	0	0	0
YHR127W	P38833	243	0	-	0	0	0	0	0
IPT1	P38954	527	0	-	0	0	0	0	0
YAR068W	P39564	161	1	L	10	10	0.0621	1	0
GIP2	P40036	548	0	-	0	0	0	0	0
SLZ1	P40167	298	0	-	0	0	0	0	0
YIL165C	P40446	119	0	-	0	0	0	0	0
RRD1	P40454	393	0	-	0	0	0	0	0
HIS6	P40545	261	0	-	0	0	0	0	0
VTH2	P40890	1549	0	-	0	0	0	0	0
YJL218W	P40892	196	0	-	0	0	0	0	0
QRI1	P43123	477	0	-	0	0	0	0	1
SNZ3	P43545	298	0	-	0	0	0	0	0
YFL040W	P43562	540	0	-	0	0	0	0	0
CHA4	P43634	648	0	-	0	0	0	0	0
BNA3	P47039	444	0	-	0	0	0	0	0
IRC8	P47046	822	0	-	0	0	0	0	0
RAV1	P47104	1357	0	-	0	0	0	0	0
VPS25	P47142	202	0	-	0	0	0	0	0
ASK10	P48361	1146	0	-	0	0	0	0	0
BXI1	P48558	297	0	-	0	0	0	0	0
MRX6	P48564	524	0	-	0	0	0	0	0
ATG1	P53104	897	0	-	0	0	0	0	1
MMS2	P53152	137	0	-	0	0	0	0	0
PIB2	P53191	635	1	S	13	13	0.0205	1	0
PCP1	P53259	346	0	-	0	0	0	0	0
YGR151C	P53287	111	0	-	0	0	0	0	0
MKC7	P53379	596	0	-	0	0	0	0	0
ALG12	P53730	551	0	-	0	0	0	0	0
YNR068C	P53754	272	0	-	0	0	0	0	0
YNL115C	P53925	644	0	-	0	0	0	0	0
YNL034W	P53963	612	0	-	0	0	0	0	0
PRP38	Q00723	242	0	-	0	0	0	0	1
MRS2	Q01926	470	0	-	0	0	0	0	0
UBP16	Q02863	499	0	-	0	0	0	0	0
YDR042C	Q03205	200	0	-	0	0	0	0	0
RPN4	Q03465	531	0	-	0	0	0	0	0
TRM732	Q03496	1420	0	-	0	0	0	0	0
GIR2	Q03768	265	0	-	0	0	0	0	0
YDR179W-A	Q03983	463	0	-	0	0	0	0	0
THI74	Q04083	370	0	-	0	0	0	0	0
PDR15	Q04182	1529	1	S	12	12	0.0078	1	0
VMS1	Q04311	632	0	-	0	0	0	0	0
YHC1	Q05900	231	0	-	0	0	0	0	1
LSM6	Q06406	86	0	-	0	0	0	0	0
ERF2	Q06551	359	0	-	0	0	0	0	0
YDR306C	Q06640	478	1	S	10	10	0.0209	1	0
YFT2	Q06676	274	0	-	0	0	0	0	0
OPY2	Q06810	360	2	S/D	15/13	28	0.0778	2	0
MRL1	Q06815	381	0	-	0	0	0	0	0
ADY3	Q07732	790	0	-	0	0	0	0	0
IRC25	Q07951	179	0	-	0	0	0	0	0
PAU23	Q07987	124	0	-	0	0	0	0	0
YOL014W	Q08110	124	0	-	0	0	0	0	0
PEX15	Q08215	383	1	L	10	10	0.0261	1	0
GRE1	Q08969	168	0	-	0	0	0	0	0
YDL211C	Q12121	372	0	-	0	0	0	0	0
RLM1	Q12224	676	1	N	18	18	0.0266	1	0
YPR011C	Q12251	326	0	-	0	0	0	0	0
NDJ1	Q12366	352	0	-	0	0	0	0	0
POM34	Q12445	299	0	-	0	0	0	0	0
YNL277W-A	Q3E7Z0	62	0	-	0	0	0	0	0
NOP10	Q6Q547	58	0	-	0	0	0	0	1
YOS9	Q99220	542	0	-	0	0	0	0	0
MED11	Q99278	115	0	-	0	0	0	0	1
