Genename	Uniprot_id	Length	Polyx_count	Polyx_types	Polyx_lengths	Total_length	Pption_polyx	Count_grouped	Hk
apt	A0A0B4KGD0	499	2	A/N	8/10	18	0.0361	2	0
Mrp5	A0A0B4KGI0	1408	0	-	0	0	0	0	0
CG31554	A0A0B4KGL2	427	0	-	0	0	0	0	0
Dmel\CG43178	A0A0B4LF48	21	0	-	0	0	0	0	0
Dmel\CG45122	A0A0B4LH46	86	0	-	0	0	0	0	0
Dmel\CG13921	A0A4D6K3Y7	1129	2	A/Q	10/10	20	0.0177	2	0
BubR1	A1Z6I7	1460	0	-	0	0	0	0	0
Dmel\CG1701	A1Z6Y2	134	0	-	0	0	0	0	0
Dmel\CG13151	A1Z917	604	0	-	0	0	0	0	0
PIG-O	A1ZB84	1077	0	-	0	0	0	0	1
CG34384	A8JQ65	1895	0	-	0	0	0	0	0
CG42374	B7Z073	129	0	-	0	0	0	0	1
Dmel\CG42634	E1JHK5	114	0	-	0	0	0	0	0
Dmel\CG42554	E1JHX0	213	0	-	0	0	0	0	1
Dmel\CG42489	E1JIF0	77	0	-	0	0	0	0	0
GS	M9NFH8	2115	0	-	0	0	0	0	1
Rbp9	M9PBZ2	684	5	N/A/A/S/S	16/15/10/10/8	59	0.0863	5	0
Dmel\CG10508	M9PFU5	733	0	-	0	0	0	0	0
AP-2mu	O62530	437	0	-	0	0	0	0	1
Ccp84Af	O97063	151	0	-	0	0	0	0	0
ng1	P23938	107	0	-	0	0	0	0	0
Snoo	Q00G30	1223	0	-	0	0	0	0	0
CG43427	Q0KIC3	1372	0	-	0	0	0	0	0
Elp5	Q24050	262	0	-	0	0	0	0	1
Usp47	Q24574	1556	0	-	0	0	0	0	1
CG13904	Q2PE08	355	0	-	0	0	0	0	0
Dmel\CG33923	Q4ABI4	178	0	-	0	0	0	0	0
Dmel\CG14483	Q4QPR8	82	0	-	0	0	0	0	1
Dmel\CG18765	Q4V4D1	393	0	-	0	0	0	0	0
Dmel\CG34301	Q6IKG0	85	0	-	0	0	0	0	0
PRAS40	Q7JXA2	562	1	Q	19	19	0.0338	1	0
Dmel\CG8321	Q7K0Q0	207	0	-	0	0	0	0	1
sut1	Q7KK97	507	0	-	0	0	0	0	1
Dmel\CG33333	Q7KSF2	148	0	-	0	0	0	0	0
Ste:CG33236	Q7KV12	172	0	-	0	0	0	0	0
CG8473	Q86B52	1690	0	-	0	0	0	0	0
Acph-1	Q8I0P9	455	0	-	0	0	0	0	0
CG13036	Q8IQN7	833	0	-	0	0	0	0	0
NSD	Q8MT36	1427	1	G	8	8	0.0056	1	1
Dmel\CG30461	Q8MTA6	225	0	-	0	0	0	0	0
spn-D	Q8SZ30	270	0	-	0	0	0	0	0
Dmel\CG5662	Q8T4F2	292	0	-	0	0	0	0	0
BcDNA:AT12868	Q8T908	497	0	-	0	0	0	0	0
GluClalpha	Q94900	456	0	-	0	0	0	0	0
fax	Q95RI5	418	0	-	0	0	0	0	1
Dmel\CG18788	Q9I7N1	540	0	-	0	0	0	0	0
Dmel\CG11158	Q9I7S2	344	0	-	0	0	0	0	0
anon-35Fc	Q9V3I6	227	0	-	0	0	0	0	1
wds	Q9V3J8	361	0	-	0	0	0	0	1
CG7639	Q9V784	443	0	-	0	0	0	0	1
Dmel\CG31098	Q9VBT1	417	0	-	0	0	0	0	1
tok	Q9VC47	1464	0	-	0	0	0	0	1
Dmel\CG6738	Q9VCQ8	401	0	-	0	0	0	0	0
Jhbp15	Q9VDF6	245	0	-	0	0	0	0	0
trem	Q9VDQ4	439	0	-	0	0	0	0	0
Xport-A	Q9VDS3	116	0	-	0	0	0	0	0
Dmel\CG5835	Q9VDZ9	237	0	-	0	0	0	0	1
Wdr37	Q9VE73	487	0	-	0	0	0	0	1
glob1	Q9VF15	153	0	-	0	0	0	0	0
Dmel\CG8087	Q9VFI5	142	0	-	0	0	0	0	0
Dmel\CG12538	Q9VFU4	194	0	-	0	0	0	0	0
SdhCL	Q9VGT9	261	0	-	0	0	0	0	0
GstZ2	Q9VHD2	227	0	-	0	0	0	0	0
ScpX	Q9VJ43	544	0	-	0	0	0	0	0
Nubp1	Q9VJI9	311	0	-	0	0	0	0	1
Gr33a	Q9VKA5	475	0	-	0	0	0	0	0
Dmel\CG18666	Q9VKK9	127	0	-	0	0	0	0	0
Dmel\CG4537	Q9VL77	97	0	-	0	0	0	0	1
gi21430616	Q9VLG3	663	0	-	0	0	0	0	0
strat	Q9VLP3	122	0	-	0	0	0	0	1
Dmel\CG13984	Q9VMF5	100	0	-	0	0	0	0	0
RpL35A	Q9VNB9	157	0	-	0	0	0	0	1
Obp83cd	Q9VNL1	242	0	-	0	0	0	0	0
Osi13	Q9VNN5	210	0	-	0	0	0	0	0
Dmel\CG5561	Q9VQ02	305	0	-	0	0	0	0	0
Dmel\CG16995	Q9VQA7	146	0	-	0	0	0	0	0
Sr-CIV	Q9VQS2	406	0	-	0	0	0	0	0
akirin	Q9VS59	201	0	-	0	0	0	0	1
smid	Q9VS62	944	0	-	0	0	0	0	0
Dmel\CG8563	Q9VS64	440	0	-	0	0	0	0	0
msk	Q9VSD6	1049	1	E	9	9	0.0086	1	1
pix	Q9VSS1	611	0	-	0	0	0	0	1
BcDNA:RH51268	Q9VW17	182	1	G	15	15	0.0824	1	0
Dmel\CG14194	Q9VWK7	358	0	-	0	0	0	0	1
Dm	Q9VY06	726	1	A	10	10	0.0138	1	0
Mrgn1	Q9VY98	789	1	S	11	11	0.0139	1	0
Syt12	Q9VYE1	787	0	-	0	0	0	0	0
Kap3	Q9VZ07	1038	0	-	0	0	0	0	1
CG13703	Q9VZ79	911	0	-	0	0	0	0	0
PIG-B	Q9VZM5	561	0	-	0	0	0	0	1
ACXD	Q9W038	1162	0	-	0	0	0	0	0
Nplp1	Q9W0W6	309	0	-	0	0	0	0	0
CT12588	Q9W0X9	219	0	-	0	0	0	0	0
yellow-d	Q9W1R1	432	0	-	0	0	0	0	0
Dmel\CG9896	Q9W1W4	253	0	-	0	0	0	0	0
Alp8	Q9W273	533	0	-	0	0	0	0	0
Pdpr	Q9W4K8	939	0	-	0	0	0	0	1
frag7	Q9W4U9	249	0	-	0	0	0	0	0
Ilp6	Q9W4Z4	107	0	-	0	0	0	0	0
Dmel\CG5946	X2JGK6	330	0	-	0	0	0	0	0
Dmel\CG14693	A0A0B4KGS5	586	1	S	11	11	0.0188	1	0
Dmel\CG31140	A0A0B4KHZ4	1571	2	G/Q	14/17	31	0.0197	2	0
Dmel\CG13606	A0A0B4LIJ3	134	0	-	0	0	0	0	0
CG17341	A0A1W5PXH3	1237	4	A/A/G/Q	10/17/15/24	66	0.0534	4	0
Cpr47Ea	A1Z8H1	135	0	-	0	0	0	0	0
Dmel\CG30076	A1Z9R9	475	1	T	9	9	0.0189	1	0
CG32422	A8JNC9	572	0	-	0	0	0	0	0
Hasp	B7YZX0	1677	1	G	18	18	0.0107	1	0
Dmel\CG43218	C6SUT0	182	0	-	0	0	0	0	0
CG8907-RB	H9ZYQ1	732	0	-	0	0	0	0	0
chr2L_10724193_10724543.0	M9MRT1	351	0	-	0	0	0	0	0
Dmel\CG34031	M9NDG6	219	0	-	0	0	0	0	0
Ac13E	M9PEP2	1703	1	E	8	8	0.0047	1	0
Dmel\CG10352	M9PJJ5	315	0	-	0	0	0	0	0
mbl	O16011	297	1	A	15	15	0.0505	1	1
Est-P	P18167	544	0	-	0	0	0	0	0
sgg	P18431	514	1	G	10	10	0.0195	1	1
RpS3A	P55830	268	0	-	0	0	0	0	0
FucTC	P83088	425	1	L	9	9	0.0212	1	0
mGluR	P91685	976	0	-	0	0	0	0	0
VhaAC45RP	Q0KHY8	423	0	-	0	0	0	0	1
CG15086	Q1RKX9	721	1	Q	10	10	0.0139	1	0
Acp1	Q26416	135	0	-	0	0	0	0	0
Dmel\CG33966	Q2MGL8	310	0	-	0	0	0	0	0
Dmel\CG33654	Q4AB39	168	0	-	0	0	0	0	0
upd3	Q59E38	401	0	-	0	0	0	0	0
Dmel\CG34164	Q6IHN1	106	0	-	0	0	0	0	0
nonC	Q70PP2	3218	0	-	0	0	0	0	1
ND-15	Q7K1C0	101	0	-	0	0	0	0	0
Dmel\CG8569	Q7K264	608	0	-	0	0	0	0	0
Dmel\CG12974	Q7KTW4	363	0	-	0	0	0	0	0
Ste:CG33243	Q7KV19	172	0	-	0	0	0	0	0
Hibch	Q86BP1	386	0	-	0	0	0	0	1
pgant11	Q8IA41	557	0	-	0	0	0	0	0
