Genename	Uniprot_id	Length	Polyx_count	Polyx_types	Polyx_lengths	Total_length	Pption_polyx	Count_grouped	Hk
B0348.10	A0A0K3ARQ1	54	0	-	0	0	0	0	0
npr-4	A0A0K3AYF5	490	0	-	0	0	0	0	0
CELE_T28F4.8	A0A1T5HUJ5	63	0	-	0	0	0	0	0
pes-8	A0A4V0INE6	464	1	L	15	15	0.0323	1	0
CELE_Y37F4.6	A4GZJ4	517	0	-	0	0	0	0	0
cwp-5	B6VQ87	679	0	-	0	0	0	0	0
CELE_F26B1.1	C7FZT0	166	0	-	0	0	0	0	0
alkb-1	E0DBL0	359	0	-	0	0	0	0	1
CELE_W03H9.2	F5GUG5	164	0	-	0	0	0	0	0
CELE_ZC247.1	G5EBP5	4389	1	T	11	11	0.0025	1	1
C47F8.3	G5ECA6	345	0	-	0	0	0	0	0
pqn-79	G5ECQ7	335	0	-	0	0	0	0	0
AC8.3	G5EDW3	374	0	-	0	0	0	0	0
kel-1	G5EGS4	618	0	-	0	0	0	0	0
CELE_D2024.5	H2KYI0	166	1	T	9	9	0.0542	1	0
idh-1	H9G2T4	435	0	-	0	0	0	0	0
C42C1.3	L8EC38	206	0	-	0	0	0	0	0
ZK1073.1	O02485	325	0	-	0	0	0	0	0
tig-2	O16273	366	0	-	0	0	0	0	0
cest-30	O16490	578	0	-	0	0	0	0	0
abu-7	O16502	438	0	-	0	0	0	0	0
CELE_K09F6.6	O16732	587	0	-	0	0	0	0	0
str-9	O17896	351	0	-	0	0	0	0	0
srbc-75	O17957	284	0	-	0	0	0	0	0
nhr-178	O44635	421	0	-	0	0	0	0	0
cyp-34a6	O44656	498	0	-	0	0	0	0	0
CELE_F54D12.7	O44831	288	0	-	0	0	0	0	0
CELE_F54D12.2	O44834	286	0	-	0	0	0	0	0
CELE_M01E5.2	O45691	358	0	-	0	0	0	0	0
srx-43	O45767	319	0	-	0	0	0	0	0
suco-1	O61794	802	0	-	0	0	0	0	1
ntr-2	O62169	398	0	-	0	0	0	0	0
knl-3	O76406	343	0	-	0	0	0	0	0
emb-9	P17139	1759	0	-	0	0	0	0	0
C14B9.3	P34330	348	0	-	0	0	0	0	0
dpf-6	P34422	740	0	-	0	0	0	0	0
emb-5	P34703	1521	0	-	0	0	0	0	1
D1044.5	P41953	68	0	-	0	0	0	0	0
tif-1A	P48322	654	0	-	0	0	0	0	1
CELE_K07A1.10	P90915	205	0	-	0	0	0	0	0
CELE_F27C1.6	P91280	647	0	-	0	0	0	0	1
clec-19	P91292	414	0	-	0	0	0	0	0
CELE_T16A1.5	P91445	41	0	-	0	0	0	0	0
CELE_T28A11.17	P91515	493	0	-	0	0	0	0	0
CELE_T28A11.3	P91521	198	0	-	0	0	0	0	0
lin-3	Q03345	438	0	-	0	0	0	0	0
cyn-9	Q09637	309	0	-	0	0	0	0	0
dom-3	Q10660	393	0	-	0	0	0	0	0
B0302.4	Q10927	31	0	-	0	0	0	0	0
nhr-35	Q17771	542	0	-	0	0	0	0	0
C18E9.7	Q18096	893	0	-	0	0	0	0	0
nmur-1	Q18701	400	0	-	0	0	0	0	0
C52B11.5	Q18773	238	0	-	0	0	0	0	0
CELE_D1014.4	Q18922	180	0	-	0	0	0	0	0
CELE_D1022.3	Q18925	245	0	-	0	0	0	0	0
scc-1	Q19325	645	0	-	0	0	0	0	0
sra-29	Q19552	348	0	-	0	0	0	0	0
CELE_F21C10.9	Q19661	317	0	-	0	0	0	0	0
gcy-13	Q19768	1028	0	-	0	0	0	0	0
CELE_Y37E3.19	Q1EPL3	159	1	T	9	9	0.0566	1	0
cubn-1	Q20911	4047	0	-	0	0	0	0	0
pfn-3	Q21193	126	0	-	0	0	0	0	0
CELE_K05G3.1	Q21251	203	0	-	0	0	0	0	0
lido-6	Q21396	319	0	-	0	0	0	0	0
CELE_R07E4.3	Q21817	90	0	-	0	0	0	0	0
snpc-3.4	Q22092	418	0	-	0	0	0	0	0
sre-28	Q22284	360	0	-	0	0	0	0	0
mrpl-50	Q22623	285	0	-	0	0	0	0	0
asp-13	Q22972	389	0	-	0	0	0	0	0
cyp-33b1	Q27471	496	0	-	0	0	0	0	0
nspf-1	Q4W510	87	0	-	0	0	0	0	0
gale-1	Q564Q1	349	0	-	0	0	0	0	0
C32D5.8	Q65ZJ7	167	0	-	0	0	0	0	0
gly-4	Q8I136	589	0	-	0	0	0	0	0
lst-4	Q8I4E2	566	0	-	0	0	0	0	0
CELE_R10E8.8	Q8I4G7	294	0	-	0	0	0	0	0
C31E10.6	Q93314	591	0	-	0	0	0	0	0
tbc-18	Q94222	826	0	-	0	0	0	0	0
C04G6.11	Q95QY0	131	0	-	0	0	0	0	0
nduv-3	Q95XG6	83	0	-	0	0	0	0	0
scc-2	Q95XZ5	2176	3	Q/Q/Q	9/8/17	34	0.0156	3	1
cest-32	Q95YC4	545	0	-	0	0	0	0	0
srb-1	Q95ZY0	341	0	-	0	0	0	0	0
CELE_ZK105.1	Q965Z4	186	0	-	0	0	0	0	0
mul-1	Q9GZE3	259	0	-	0	0	0	0	0
CELE_Y52E8A.1	Q9N3H5	132	0	-	0	0	0	0	0
fbxb-42	Q9N3J6	319	0	-	0	0	0	0	0
srg-50	Q9N3X5	300	0	-	0	0	0	0	0
ccep-135	Q9N5N7	456	1	T	10	10	0.0219	1	0
CELE_F55A3.2	Q9N5R8	773	0	-	0	0	0	0	0
tag-275	Q9N5X7	472	1	P	10	10	0.0212	1	0
spe-9	Q9TVY6	661	0	-	0	0	0	0	0
CELE_Y51H4A.13	Q9U261	547	0	-	0	0	0	0	0
men-1	Q9U296	620	0	-	0	0	0	0	1
sre-47	Q9U2J1	372	0	-	0	0	0	0	0
irld-49	Q9U8C9	431	0	-	0	0	0	0	0
rpb-11	Q9XVH6	122	0	-	0	0	0	0	0
CELE_Y47H9B.2	Q9XWZ8	317	0	-	0	0	0	0	0
CELE_Y51B9A.9	Q9XXC0	381	0	-	0	0	0	0	0
Y48A6B.9	Q9XXC8	346	0	-	0	0	0	0	0
CELE_F45D11.11	A0A0S4XR53	288	0	-	0	0	0	0	0
somi-1	A0A486WWJ9	582	0	-	0	0	0	0	0
CELE_Y48E1C.2	A0A7R9SUM5	372	0	-	0	0	0	0	0
CELE_R01H2.7	A0T4E6	215	0	-	0	0	0	0	0
fbxa-50	A4F334	311	0	-	0	0	0	0	0
C06B3.16	C4ALD7	74	0	-	0	0	0	0	0
CELE_F37C12.10	C8JQP1	126	0	-	0	0	0	0	0
CELE_F25D1.8	E2JKZ9	50	0	-	0	0	0	0	0
calu-1	G5EBH7	314	0	-	0	0	0	0	0
bus-12	G5ECW1	315	0	-	0	0	0	0	0
str-267	G5ECX6	340	0	-	0	0	0	0	0
exos-7	G5EDS8	312	0	-	0	0	0	0	0
btf-1	G5EF07	1649	0	-	0	0	0	0	0
CELE_T12D8.9	G5EFT0	1183	3	D/D/D	10/12/13	35	0.0296	3	0
B0507.3	H2KYB0	432	0	-	0	0	0	0	0
CELE_F25E5.8	H2KYV5	235	0	-	0	0	0	0	0
tres-1	H2KZ16	873	0	-	0	0	0	0	1
kcc-2	H2KZC3	1129	0	-	0	0	0	0	0
kgb-2	H2KZI0	332	0	-	0	0	0	0	0
C50A2.7	I2HAK3	142	0	-	0	0	0	0	0
C05A2.4	K8F7Y3	43	0	-	0	0	0	0	0
CELE_F18A11.2	O01324	388	0	-	0	0	0	0	0
CELE_F48C1.5	O01571	124	0	-	0	0	0	0	0
cpg-22	O01603	583	1	S	14	14	0.024	1	0
CELE_ZC196.2	O01630	345	0	-	0	0	0	0	0
srx-97	O02071	317	0	-	0	0	0	0	0
CELE_F35E12.6	O02358	350	0	-	0	0	0	0	0
C05C8.8	O16316	439	0	-	0	0	0	0	0
nhr-157	O16388	366	0	-	0	0	0	0	0
pqbp-1.1	O16786	280	0	-	0	0	0	0	0
igdb-1	O18016	1029	0	-	0	0	0	0	0
CELE_W04G5.5	O18170	412	0	-	0	0	0	0	0
CELE_F48G7.13	O44583	231	0	-	0	0	0	0	0
sdz-20	O45547	276	0	-	0	0	0	0	0
CELE_H08M01.1	O45610	342	0	-	0	0	0	0	0
trx-5	O61985	142	0	-	0	0	0	0	0
dhhc-1	O62144	295	0	-	0	0	0	0	0
tut-1	O76365	373	1	G	13	13	0.0349	1	0
npr-30	O76667	396	0	-	0	0	0	0	0
ced-4	P30429	549	0	-	0	0	0	0	0
C23H3.5	P91078	403	0	-	0	0	0	0	0
let-381	P91278	362	0	-	0	0	0	0	0
C32D5.4	Q09264	369	0	-	0	0	0	0	0
C09G5.7	Q09458	395	0	-	0	0	0	0	0
metr-1	Q09582	1249	0	-	0	0	0	0	0
cyb-3	Q10654	385	0	-	0	0	0	0	0
tmc-2	Q11069	1203	1	S	9	9	0.0075	1	0
srtx-1	Q17519	355	0	-	0	0	0	0	0
