Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene start (bp)	Gene end (bp)
ENSOANG00000019388	ENSOANT00000028512	Q37717		2807	3763
ENSOANG00000019384	ENSOANT00000028508	Q36451	F7EE84	3971	5014
ENSOANG00000019378	ENSOANT00000028502	Q36452		5389	6930
ENSOANG00000019375	ENSOANT00000028499	Q37718		7074	7766
ENSOANG00000019373	ENSOANT00000028497	Q36453		7829	8038
ENSOANG00000019372	ENSOANT00000028496	Q36454		7993	8673
ENSOANG00000019371	ENSOANT00000028495	Q36455		8673	9456
ENSOANG00000019369	ENSOANT00000028493	Q36456	F7EED1	9527	9874
ENSOANG00000019367	ENSOANT00000028491	Q36457		9941	10237
ENSOANG00000019366	ENSOANT00000028490		A0A6Q7HQX5	10231	11608
ENSOANG00000019362	ENSOANT00000028486	Q36459	F7EED6	11803	13617
ENSOANG00000019361	ENSOANT00000028485	Q36460		13614	14114
ENSOANG00000019359	ENSOANT00000028483	Q36461	G8CUI0	14186	15325
ENSOANG00000036655	ENSOANT00000047859		A0A6I8NK16	38965	81930
ENSOANG00000036655	ENSOANT00000054096		A0A6I8NY65	38965	81930
ENSOANG00000039864	ENSOANT00000064798		A0A6I8N9S8	26897111	26969536
ENSOANG00000014766	ENSOANT00000023263		F7EGZ2	19531677	19550707
ENSOANG00000011242	ENSOANT00000017812		F7E6N4	54337353	54380726
ENSOANG00000045649	ENSOANT00000051588		A0A6I8NAG4	120657188	120674729
ENSOANG00000007781	ENSOANT00000012395		F7BZE1	129212405	129222169
ENSOANG00000039864	ENSOANT00000060304		A0A6I8NA93	26897111	26969536
ENSOANG00000011242	ENSOANT00000072773		A0A6I8PE92	54337353	54380726
ENSOANG00000007781	ENSOANT00000047345		A0A6I8NMD8	129212405	129222169
ENSOANG00000039864	ENSOANT00000067328		A0A6I8NZ63	26897111	26969536
ENSOANG00000039864	ENSOANT00000055535		A0A6I8N277	26897111	26969536
