Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene start (bp)	Gene end (bp)
ENSCGRG00001000006	ENSCGRT00001000006		Q27PQ5	2733	3687
ENSCGRG00001000010	ENSCGRT00001000010		Q27PQ4	3898	4930
ENSCGRG00001000016	ENSCGRT00001000016		Q27PQ3	5310	6854
ENSCGRG00001000019	ENSCGRT00001000019		Q8WBA9	6994	7677
ENSCGRG00001000021	ENSCGRT00001000021	P14414	Q27PQ1	7746	7949
ENSCGRG00001000022	ENSCGRT00001000022		Q27PQ0	7907	8587
ENSCGRG00001000023	ENSCGRT00001000023		Q27PP9	8587	9370
ENSCGRG00001000025	ENSCGRT00001000025		Q27PP8	9439	9786
ENSCGRG00001000027	ENSCGRT00001000027		Q27PP7	9857	10153
ENSCGRG00001000028	ENSCGRT00001000028		Q27PP6	10147	11524
ENSCGRG00001000032	ENSCGRT00001000032		Q27PP5	11721	13541
ENSCGRG00001000033	ENSCGRT00001000033		Q27PP4	13525	14049
ENSCGRG00001000035	ENSCGRT00001000035		Q27PP3	14123	15265
ENSCGRG00001000039	ENSCGRT00001000039		A0A3L7H9B1	24933151	24940278
ENSCGRG00001000044	ENSCGRT00001000040		G3H6L3	15637438	15657131
ENSCGRG00001000040	ENSCGRT00001000038		A0A3L7HY36	27030238	27037312
ENSCGRG00001000041	ENSCGRT00001000041		A0A8C2QBI1	13106647	13122248
ENSCGRG00001000042	ENSCGRT00001000043		A0A8C2QBT1	31301230	31302319
ENSCGRG00001000038	ENSCGRT00001000042		A0A8C2LA73	878400	879140
ENSCGRG00001000045	ENSCGRT00001000044		A0A8C2L7D1	402393	403410
ENSCGRG00001000047	ENSCGRT00001000045		A0A3L7INE3	5637622	5645744
ENSCGRG00001000046	ENSCGRT00001000046		A0A8C2LBF0	751815	783649
ENSCGRG00001000043	ENSCGRT00001000047		A0A8C2L9M4	7588	8744
ENSCGRG00001000048	ENSCGRT00001000048		A0A8C2LAC9	64738501	64750829
ENSCGRG00001000053	ENSCGRT00001000049		A0A8C2L5Y6	33239609	33244139
ENSCGRG00001000049	ENSCGRT00001000050		A0A8C2L6V2	1338712	1345684
ENSCGRG00001000050	ENSCGRT00001000051		A0A8C2L8D9	3067427	3087666
ENSCGRG00001000054	ENSCGRT00001000052		A0A8C2L8M7	5175614	5180387
ENSCGRG00001000053	ENSCGRT00001000053		A0A8C2QBI3	33239609	33244139
ENSCGRG00001000054	ENSCGRT00001000054		A0A8C2QBT3	5175614	5180387
ENSCGRG00001000052	ENSCGRT00001000055		G3GTS8	15289221	15298693
ENSCGRG00001000051	ENSCGRT00001000056		A0A8C2L7E1	46332283	46359672
ENSCGRG00001000057	ENSCGRT00001000057		A0A8C2LCU1	40652	194900
ENSCGRG00001000055	ENSCGRT00001000058		A0A8C2LBG1	13718182	13746715
ENSCGRG00001000058	ENSCGRT00001000059		A0A8C2L9N4	14355142	14356373
ENSCGRG00001000061	ENSCGRT00001000060		A0A8C2LAD9	10959159	11012067
ENSCGRG00001000067	ENSCGRT00001000061		A0A3L7GZJ1	204005	207395
ENSCGRG00001000066	ENSCGRT00001000062		A0A8C2L6W2	31275795	31286603
ENSCGRG00001000065	ENSCGRT00001000063		A0A8C2L8F1	15056248	15077193
ENSCGRG00001000062	ENSCGRT00001000064		A0A8C2L8N6	1748461	1750588
ENSCGRG00001000064	ENSCGRT00001000065		G3IP39	7562332	7566112
ENSCGRG00001000063	ENSCGRT00001000066		A0A8C2QBT5	31998159	32019072
ENSCGRG00001000056	ENSCGRT00001000067		A0A8C2LA96	1149448	1149857
ENSCGRG00001000060	ENSCGRT00001000068		A0A8C2L7F4	10023585	10025312
ENSCGRG00001000068	ENSCGRT00001000069		A0A8C2LCV1	22244233	22250174
