Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene start (bp)	Gene end (bp)
ENSMODG00000016695	ENSMODT00000021206		F7DLR3	21	9522
ENSMODG00000013483	ENSMODT00000017178		F7F946	175087	201701
ENSMODG00000013483	ENSMODT00000052074		A0A5F8GCX7	175087	201701
ENSMODG00000013493	ENSMODT00000017190		F7F8S0	1401985	1746694
ENSMODG00000045876	ENSMODT00000060008		A0A5F8H829	2520451	2521733
ENSMODG00000013518	ENSMODT00000017228		F7D732	2628923	2675069
ENSMODG00000013518	ENSMODT00000077669		A0A5F8GSG8	2628923	2675069
ENSMODG00000013518	ENSMODT00000053702		A0A5F8G1N5	2628923	2675069
ENSMODG00000013518	ENSMODT00000061249		A0A5F8H2S3	2628923	2675069
ENSMODG00000043721	ENSMODT00000066080		A0A5F8HKR5	2713624	2718020
ENSMODG00000013531	ENSMODT00000076707		A0A5F8GRD6	2774902	2855765
ENSMODG00000013531	ENSMODT00000068462		A0A5F8GQ52	2774902	2855765
ENSMODG00000013531	ENSMODT00000074334		A0A5F8GGI8	2774902	2855765
ENSMODG00000013531	ENSMODT00000063100		A0A5F8GMZ1	2774902	2855765
ENSMODG00000013531	ENSMODT00000064251		A0A5F8GYE6	2774902	2855765
ENSMODG00000013531	ENSMODT00000017241		F7D6K6	2774902	2855765
ENSMODG00000041358	ENSMODT00000042120		K7DZR0	2881412	2882578
ENSMODG00000006903	ENSMODT00000008721		F6PU44	2926717	3057315
ENSMODG00000036674	ENSMODT00000081385		A0A5F8GEI2	3040466	3042340
ENSMODG00000029056	ENSMODT00000042215		K7E005	3166588	3171196
ENSMODG00000006906	ENSMODT00000008726		F6PTV4	3347935	3350913
ENSMODG00000006911	ENSMODT00000008735		F6PT54	3462856	3480813
ENSMODG00000043197	ENSMODT00000066264		A0A5F8GPU3	3562055	3564427
ENSMODG00000006941	ENSMODT00000008775		F6RGE8	3582574	3605422
ENSMODG00000006941	ENSMODT00000039785		F6VLM4	3582574	3605422
ENSMODG00000006953	ENSMODT00000073609		A0A5F8GXI9	3619003	3637397
ENSMODG00000006953	ENSMODT00000008793		F6RFD6	3619003	3637397
ENSMODG00000012237	ENSMODT00000015610		F6Z6F1	4752679	4764425
ENSMODG00000012225	ENSMODT00000015598		F6Z6R7	4863819	4869497
ENSMODG00000012225	ENSMODT00000084022		A0A5F8GKP4	4863819	4869497
ENSMODG00000012220	ENSMODT00000069980		A0A5F8GX50	5280616	5334963
ENSMODG00000012220	ENSMODT00000015591		F6Z729	5280616	5334963
ENSMODG00000012220	ENSMODT00000082362		A0A5F8GCA6	5280616	5334963
ENSMODG00000040146	ENSMODT00000071775		A0A5F8GDG2	5445789	5483175
ENSMODG00000012201	ENSMODT00000015559		F7CE89	5482823	5510162
ENSMODG00000012195	ENSMODT00000015552		F7CEH3	5527363	5532868
ENSMODG00000012190	ENSMODT00000015548		F7CEJ6	5541120	5562956
ENSMODG00000012176	ENSMODT00000015534		F7CY62	5574136	5601324
ENSMODG00000046812	ENSMODT00000081471		A0A5F8GGA2	5612677	5621382
ENSMODG00000046812	ENSMODT00000059637		A0A5F8G770	5612677	5621382
ENSMODG00000012169	ENSMODT00000015525		F7CYA3	5643448	5660421
ENSMODG00000012163	ENSMODT00000015518		A0A5F8H4K6	5691854	5696724
ENSMODG00000012161	ENSMODT00000015516		F7CYK5	5696919	5718555
ENSMODG00000017248	ENSMODT00000021899		F6TKW2	28913495	28940594
ENSMODG00000016421	ENSMODT00000020875		F7ASV4	41981778	41987328
ENSMODG00000012158	ENSMODT00000015513		F7CYQ7	5728720	5735435
ENSMODG00000017247	ENSMODT00000071748		A0A5F8HFW4	28951434	29002156
ENSMODG00000017247	ENSMODT00000021898		F6TKX0	28951434	29002156
ENSMODG00000041159	ENSMODT00000074516		A0A5F8GB60	5873531	5880044
ENSMODG00000009342	ENSMODT00000011894		F7GAN6	90452560	90453363
ENSMODG00000044699	ENSMODT00000079997		A0A5F8GSD2	111096495	111098575
ENSMODG00000028875	ENSMODT00000043968		K7E508	16067540	16068832
ENSMODG00000025399	ENSMODT00000039613		F6RMM9	6823749	6825602
ENSMODG00000011900	ENSMODT00000015189		F7EGZ4	111207677	111214706
ENSMODG00000009365	ENSMODT00000056269		A0A5F8HCB6	90458341	90577962
ENSMODG00000000919	ENSMODT00000001116		F6ZGR1	53120905	53156852
ENSMODG00000010493	ENSMODT00000060937		A0A5F8GI73	16130307	16236782
ENSMODG00000000919	ENSMODT00000038464		F6UPI4	53120905	53156852
ENSMODG00000010493	ENSMODT00000013387		F7ES78	16130307	16236782
ENSMODG00000009365	ENSMODT00000011921		F7CQ76	90458341	90577962
ENSMODG00000006780	ENSMODT00000008562		F7BTG6	79804746	79930287
ENSMODG00000012113	ENSMODT00000015451		F7FUC8	7150944	7207520
ENSMODG00000011907	ENSMODT00000015197		F7EGQ0	111322084	111328560
ENSMODG00000009365	ENSMODT00000087800		A0A5F8GET1	90458341	90577962
ENSMODG00000009365	ENSMODT00000067152		A0A5F8GYI1	90458341	90577962
ENSMODG00000009365	ENSMODT00000065924		A0A5F8GPZ9	90458341	90577962
ENSMODG00000006798	ENSMODT00000008585		F6PGY7	80101154	80215292
ENSMODG00000010485	ENSMODT00000013378		F7ESI4	16315164	16357740
ENSMODG00000012107	ENSMODT00000015446		F7FUE0	7302755	7497236
ENSMODG00000011922	ENSMODT00000015216		F7DZH8	111370916	111389432
ENSMODG00000010481	ENSMODT00000013374		F7ESK8	16372435	16395025
ENSMODG00000050891	ENSMODT00000060735		A0A5F8GAF3	53751160	53755999
ENSMODG00000009370	ENSMODT00000011927		F7CQ50	90752535	90755335
ENSMODG00000045652	ENSMODT00000075886		A0A5F8HB91	111386265	111396422
ENSMODG00000010464	ENSMODT00000013353		F7F7K0	16398479	16409737
ENSMODG00000006827	ENSMODT00000008623		F6PG89	80527952	80538673
ENSMODG00000006827	ENSMODT00000079780		A0A5F8G7S0	80527952	80538673
ENSMODG00000009378	ENSMODT00000011938		F7CPZ0	91143617	91178134
ENSMODG00000010450	ENSMODT00000013340		F7F7T9	16419113	16438677
ENSMODG00000006874	ENSMODT00000008687		F6PWX1	80588084	80669148
ENSMODG00000025145	ENSMODT00000021889		F6TLE1	29135183	29242891
ENSMODG00000011937	ENSMODT00000015235		F7DE60	111396303	111409420
ENSMODG00000048213	ENSMODT00000087806		A0A5F8H2Y3	29567941	29568941
ENSMODG00000047885	ENSMODT00000078644		A0A5F8GKG6	301764842	301784527
ENSMODG00000009385	ENSMODT00000011949		F7CPQ8	91507851	91647170
ENSMODG00000024649	ENSMODT00000036564		F6XBE0	143878595	143879908
ENSMODG00000009385	ENSMODT00000063365		A0A5F8GZ87	91507851	91647170
ENSMODG00000050978	ENSMODT00000082941		A0A5F8H762	29579703	29632219
ENSMODG00000011636	ENSMODT00000014843		F6TJT9	143905614	143919223
ENSMODG00000017246	ENSMODT00000021894		F6TLA5	29951115	29997875
ENSMODG00000011955	ENSMODT00000015258		F7CV17	111409912	111418091
ENSMODG00000017246	ENSMODT00000064945		A0A5F8GJ12	29951115	29997875
ENSMODG00000006861	ENSMODT00000008668		F6PXN5	251225331	251288133
ENSMODG00000011955	ENSMODT00000085974		A0A5F8HF29	111409912	111418091
ENSMODG00000014344	ENSMODT00000053576		A0A5F8HEJ0	301787941	301811738
ENSMODG00000014344	ENSMODT00000018258		F6ULE0	301787941	301811738
ENSMODG00000044131	ENSMODT00000054371		A0A5F8G560	30201785	30202669
ENSMODG00000040056	ENSMODT00000053723		A0A5F8H1W3	54090186	54181437
ENSMODG00000011966	ENSMODT00000015270		F7CUW8	111421226	111424319
ENSMODG00000011629	ENSMODT00000014830		F6U0H2	143927083	143958023
ENSMODG00000024887	ENSMODT00000037638		A0A5F8GXP5	80808382	80811078
ENSMODG00000011629	ENSMODT00000086793		A0A5F8GPT7	143927083	143958023
ENSMODG00000038200	ENSMODT00000062624		A0A5F8G2F3	54240235	54429998
ENSMODG00000019580	ENSMODT00000024862		F6QMZ0	405353909	405396803
ENSMODG00000017233	ENSMODT00000021874		F6WHN1	30437156	31262537
ENSMODG00000011975	ENSMODT00000015279		F7B9Y3	111424825	111427883
ENSMODG00000009388	ENSMODT00000011951		F7CPI5	92185293	92193607
ENSMODG00000006889	ENSMODT00000008706		F6PVP3	251301804	251323918
ENSMODG00000025746	ENSMODT00000040192		F6T1T6	400250985	400292473
ENSMODG00000050254	ENSMODT00000042736		K7E1H9	31620126	31622681
ENSMODG00000025306	ENSMODT00000039231		A2BDG4	16444999	16445439
ENSMODG00000049423	ENSMODT00000085327		A0A5F8HG25	144305888	144309603
ENSMODG00000025746	ENSMODT00000064753		A0A5F8GSS7	400250985	400292473
ENSMODG00000010428	ENSMODT00000039222		F7F4X1	16487388	16488595
ENSMODG00000011993	ENSMODT00000015302		F7B995	111430641	111442089
ENSMODG00000014331	ENSMODT00000018253		F6ULL3	301898067	301950764
ENSMODG00000024647	ENSMODT00000036557		F6XBS2	144428639	144429610
ENSMODG00000009394	ENSMODT00000075101		A0A5F8G7M2	92463695	92619038
ENSMODG00000009394	ENSMODT00000011958		F7CPE7	92463695	92619038
