Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene start (bp)	Gene end (bp)
ENSGGOG00000022681	ENSGGOT00000023943		G3RRH4	2726	3681
ENSGGOG00000026243	ENSGGOT00000028903		G3S569	3889	4930
ENSGGOG00000023924	ENSGGOT00000023501		G3SHV8	5326	6862
ENSGGOG00000028325	ENSGGOT00000028370		G3RYU2	7009	7692
ENSGGOG00000023589	ENSGGOT00000029515		G3SGQ7	7790	7996
ENSGGOG00000025370	ENSGGOT00000023634		G3S3I9	7951	8631
ENSGGOG00000023107	ENSGGOT00000032032	Q9T9Y6		8631	9414
ENSGGOG00000026757	ENSGGOT00000030930		G3RZR3	9483	9828
ENSGGOG00000023000	ENSGGOT00000025460		G3RWE6	9894	10190
ENSGGOG00000025053	ENSGGOT00000033655		G3S7Z8	10184	11561
ENSGGOG00000022688	ENSGGOT00000028954		G3S388	11761	13572
ENSGGOG00000026221	ENSGGOT00000032702		G3SJB1	13573	14097
ENSGGOG00000024015	ENSGGOT00000030288		G3S3T4	14171	15311
ENSGGOG00000036463	ENSGGOT00000029596		G3SK86	358	1646
ENSGGOG00000024518	ENSGGOT00000048820		A0A2I2Z5M1	50296690	50471441
ENSGGOG00000005216	ENSGGOT00000005245		G3QR75	57700035	57732277
ENSGGOG00000024518	ENSGGOT00000022573		G3SGY9	50296690	50471441
ENSGGOG00000024518	ENSGGOT00000023516		G3RWE9	50296690	50471441
ENSGGOG00000039266	ENSGGOT00000053932		G3R404	49209270	49213761
ENSGGOG00000005216	ENSGGOT00000058125		A0A2I2Z8V2	57700035	57732277
ENSGGOG00000005216	ENSGGOT00000050169		A0A2I2YGH4	57700035	57732277
ENSGGOG00000005216	ENSGGOT00000050963		A0A2I2ZLL9	57700035	57732277
ENSGGOG00000041036	ENSGGOT00000065257		A0A2I2YVD8	603	13851
ENSGGOG00000024302	ENSGGOT00000034263		A0A2I2Z941	27299675	27300726
ENSGGOG00000011538	ENSGGOT00000011585		G3R7C1	18849877	18918400
ENSGGOG00000016931	ENSGGOT00000054150		A0A2I2Z4A3	18281070	18296340
ENSGGOG00000001116	ENSGGOT00000001125		G3QFM4	70674080	70679629
ENSGGOG00000038628	ENSGGOT00000053603		A0A2I2YZE8	153692419	153694272
ENSGGOG00000026945	ENSGGOT00000022170		G3S8T5	163748950	163750841
ENSGGOG00000001957	ENSGGOT00000001968		G3QHU0	34242739	34250120
ENSGGOG00000016931	ENSGGOT00000016991		G3RL86	18281070	18296340
ENSGGOG00000016931	ENSGGOT00000046996		A0A2I2Y2W2	18281070	18296340
ENSGGOG00000016712	ENSGGOT00000016768		G3RKN3	30863778	30872623
ENSGGOG00000009593	ENSGGOT00000009635		G3R2C4	87746939	87764980
ENSGGOG00000010837	ENSGGOT00000010875		G3R5I6	112398082	112404285
ENSGGOG00000012149	ENSGGOT00000012199		G3R8Y5	63376518	63393527
ENSGGOG00000040892	ENSGGOT00000059173		A0A2I2ZD44	48382506	48390541
ENSGGOG00000009593	ENSGGOT00000062036		A0A2I2Y4G7	87746939	87764980
ENSGGOG00000025330	ENSGGOT00000033234		G3RUE6	6978636	6978992
ENSGGOG00000010632	ENSGGOT00000010668		G3R4Z8	5439945	5440562
ENSGGOG00000036619	ENSGGOT00000059319		A0A2I2YSS7	21442226	21444869
ENSGGOG00000043072	ENSGGOT00000016361		G3RJL4	22624063	22653053
ENSGGOG00000040578	ENSGGOT00000064826		G3SCS9	20083250	20084092
ENSGGOG00000041408	ENSGGOT00000029613		G3RY71	5762794	5763144
ENSGGOG00000015836	ENSGGOT00000015900		G3RIF4	7947423	8059393
ENSGGOG00000042880	ENSGGOT00000060427		A0A2I2YNW8	3810	10638
ENSGGOG00000006213	ENSGGOT00000006234		G3QTP3	58302212	58331863
ENSGGOG00000015836	ENSGGOT00000026721		G3S4X6	7947423	8059393
ENSGGOG00000042880	ENSGGOT00000063248		A0A2I2YCU4	3810	10638
ENSGGOG00000000126	ENSGGOT00000045087		A0A2I2ZK98	35041208	35046202
ENSGGOG00000014350	ENSGGOT00000014407		G3REL4	8069702	8079812
ENSGGOG00000006213	ENSGGOT00000053588		A0A2I2ZPH1	58302212	58331863
ENSGGOG00000002657	ENSGGOT00000002671		G3QJL9	31796067	31797257
ENSGGOG00000000126	ENSGGOT00000000127		G3QD21	35041208	35046202
ENSGGOG00000014350	ENSGGOT00000058258		A0A2I2ZN04	8069702	8079812
ENSGGOG00000011443	ENSGGOT00000053325		A0A2I2YJP6	118120216	118323523
ENSGGOG00000036291	ENSGGOT00000030173		G3RNC3	5739546	5739896
ENSGGOG00000006302	ENSGGOT00000006329		G3QTX8	32333205	32339401
ENSGGOG00000010861	ENSGGOT00000062961		A0A2I2Y9P0	180365167	180497486
ENSGGOG00000043168	ENSGGOT00000047845		A0A2I2ZD90	90685144	90685524
