Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene start (bp)	Gene end (bp)
FBgn0029843	FBtr0343930	Q9W436		6091205	6103971
FBgn0029843	FBtr0070872	Q9W436		6091205	6103971
FBgn0029843	FBtr0070873	Q9W436		6091205	6103971
FBgn0029843	FBtr0340032	Q9W436		6091205	6103971
FBgn0026238	FBtr0309849	A1Z6E0	A0A0B4K6X3	5116990	5128321
FBgn0026238	FBtr0309851	A1Z6E0	A0A0B4K6X3	5116990	5128321
FBgn0026238	FBtr0309850	A1Z6E0	A0A0B4K6X3	5116990	5128321
FBgn0026238	FBtr0309848	A1Z6E0	A0A0B4K6X3	5116990	5128321
FBgn0026238	FBtr0309846	A1Z6E0	A0A0B4K6X3	5116990	5128321
FBgn0026238	FBtr0309847	A1Z6E0	A0A0B4K6X3	5116990	5128321
FBgn0026238	FBtr0309852	A1Z6E0	A0A0B4K6X3	5116990	5128321
FBgn0035235	FBtr0072826		Q9W0D6	1559813	1568608
FBgn0035235	FBtr0072827		Q9W0D6	1559813	1568608
FBgn0035235	FBtr0072827		Q8T3I6	1559813	1568608
FBgn0033669	FBtr0310157	Q9V637	A0A0B4KEK7	11967343	11970115
FBgn0033669	FBtr0088052	Q9V637	A0A0B4KEK7	11967343	11970115
FBgn0033669	FBtr0088051	Q9V637	A0A0B4KEK7	11967343	11970115
FBgn0033669	FBtr0310159	Q9V637	A0A0B4KEK7	11967343	11970115
FBgn0033669	FBtr0088053	Q9V637	A0A0B4KEK7	11967343	11970115
FBgn0032171	FBtr0346717		Q9VL58	9956175	9957237
FBgn0032171	FBtr0079891		Q9VL58	9956175	9957237
FBgn0038542	FBtr0344474		Q9VEG1	17750129	17763188
FBgn0038542	FBtr0083532		Q9VEG1	17750129	17763188
FBgn0038542	FBtr0346161		Q9VEG1	17750129	17763188
FBgn0029913	FBtr0071041		Q9W3V1	6847877	6849517
FBgn0031304	FBtr0077956		Q9VPW9	1129316	1132411
FBgn0031304	FBtr0077956		Q8MRS6	1129316	1132411
FBgn0039925	FBtr0089196		Q9V4A1	1147466	1169239
FBgn0267828	FBtr0347405		Q9VKU1	10510672	10517218
FBgn0267828	FBtr0347406		E1JHE4	10510672	10517218
FBgn0267828	FBtr0347403		Q9VKU1	10510672	10517218
FBgn0267828	FBtr0347404		Q9VKU1	10510672	10517218
FBgn0004574	FBtr0310632	Q07327	M9PEL1	4136359	4138996
FBgn0004574	FBtr0073263	Q07327	M9PEL1	4136359	4138996
FBgn0030340	FBtr0303268		Q9VYT7	11842662	11846099
FBgn0030340	FBtr0303268		Q8MT66	11842662	11846099
FBgn0030340	FBtr0303268		I0C0M4	11842662	11846099
FBgn0026150	FBtr0304931	Q9VJG0		16908229	16910418
FBgn0026150	FBtr0080956	Q9VJG0	O96794	16908229	16910418
FBgn0035346	FBtr0072921		Q9W009	2488804	2492613
FBgn0035346	FBtr0344219		Q9W009	2488804	2492613
FBgn0035346	FBtr0072922		Q9W009	2488804	2492613
FBgn0035346	FBtr0072923		Q9W009	2488804	2492613
FBgn0039592	FBtr0100373		Q9VAU3	28641585	28642891
FBgn0034785	FBtr0303785		Q9W1Y9	22845977	22847911
FBgn0034785	FBtr0303785		C9QP16	22845977	22847911
FBgn0033458	FBtr0088376		Q7JZC5	9871470	9873646
FBgn0265188	FBtr0339111		E1JGT2	23058248	23058793
FBgn0029993	FBtr0071106		Q9W3L0	8075877	8078240
FBgn0029993	FBtr0071106		Q8MTB1	8075877	8078240
FBgn0005695	FBtr0339337		A0A0B4LEY8	8724258	8728999
FBgn0005695	FBtr0088710	Q01820		8724258	8728999
FBgn0261615	FBtr0302954		M9MS77	7412668	7413296
FBgn0261615	FBtr0302954		C0PV90	7412668	7413296
FBgn0038067	FBtr0110781		Q0KI77	12634917	12636283
FBgn0038067	FBtr0110781		Q3HKQ6	12634917	12636283
FBgn0038067	FBtr0110781		S0F291	12634917	12636283
