Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene start (bp)	Gene end (bp)
WBGene00000001	Y110A7A.10.1		G5EDP9	5107843	5110183
WBGene00000002	F27C8.1.1		Q19834	9599178	9601695
WBGene00000003	F07C3.7.1		Q19151	9244402	9246360
WBGene00000004	F52H2.2a.1		O17395	2552260	2557736
WBGene00000004	F52H2.2b.1		A0A0K3AVL7	2552260	2557736
WBGene00000005	T13A10.10a.1		Q7YXH5	6272529	6275721
WBGene00000006	C55C2.5a.1		H2KZG9	2571740	2576020
WBGene00000007	T11F9.4a.1	Q22397		11466842	11470663
WBGene00000007	T11F9.4b.1			11466842	11470663
WBGene00000008	F54D12.3.1		O44832	1386870	1391639
WBGene00000009	F28F9.4.1		Q94197	3862033	3865044
WBGene00000010	Y53H1C.1a.1		Q9NA91	11388682	11396662
WBGene00000010	Y53H1C.1b.1		Q56VY0	11388682	11396662
WBGene00000012	C50F2.9.1	G5EGC4		3886070	3887095
WBGene00000013	C50F2.10.1	G5EC68		3885631	3885888
WBGene00000014	F54B8.5.1		O45563	15817410	15817846
WBGene00000015	Y38H6C.22.1		Q9XX40	20557876	20558370
WBGene00000016	T22H6.5.1		G5EFQ2	12792854	12793386
WBGene00000017	T22H6.7.1		G5EBS3	12794118	12794870
WBGene00000018	M79.1a.1	P03949		10605827	10624207
WBGene00000018	M79.1b.1			10605827	10624207
WBGene00000018	M79.1c.1			10605827	10624207
WBGene00000018	M79.1d.1		A0A5E4LZL8	10605827	10624207
WBGene00000018	M79.1e.1		A0A5E4LZH0	10605827	10624207
WBGene00000019	C24F3.5a.1		S6EZS3	10206189	10214911
WBGene00000019	C24F3.5b.1		S6FN28	10206189	10214911
WBGene00000020	F12B6.1a.1		Q1RS86	2255921	2272866
WBGene00000020	F12B6.1b.1		X5LXB2	2255921	2272866
WBGene00000022	Y39D8C.1.1		Q9TXV8	323777	330725
WBGene00000023	Y53C10A.9.1		Q9XW49	12011195	12018684
WBGene00000024	AC3.3.1		Q17400	10380340	10381826
WBGene00000025	F19G12.7.1		Q19594	1408836	1410652
WBGene00000027	Y5H2A.3.1		Q86S74	2274842	2275977
WBGene00000028	Y105C5A.4.1		Q9NF70	15590697	15591772
WBGene00000029	C03A7.7.1		O16501	5160678	5161892
WBGene00000030	C03A7.8.1		O16502	5163270	5164782
WBGene00000031	C03A7.14.1		O16511	5192995	5194608
WBGene00000032	R09F10.2.1		G5EGB7	8322111	8323343
WBGene00000033	F35A5.3.1		Q20002	3798182	3799741
WBGene00000034	T01D1.6.1		P91419	192509	194558
WBGene00000035	W09B12.1.1	P38433		16367293	16373789
WBGene00000036	Y44E3A.2.1		G5EDV9	3301368	3307935
WBGene00000036	Y44E3A.2.2		G5EDV9	3301368	3307935
WBGene00000037	Y48B6A.8.1		Q9U295	14205635	14210214
WBGene00000038	Y48B6A.7.1		G5EDN1	14198046	14205460
WBGene00000039	C42D8.5.1	Q18581		5092481	5097067
WBGene00000040	ZK455.1.1	Q23500		11339874	11343327
WBGene00000041	F54H12.1a.1	P34455		7973717	7977355
WBGene00000041	F54H12.1c.1			7973717	7977355
WBGene00000041	F54H12.1c.2			7973717	7977355
WBGene00000041	F54H12.1c.3			7973717	7977355
WBGene00000042	K11G12.2.1	P48182		6702549	6709308
WBGene00000043	K11G12.7.1	Q93149		6709538	6712925
WBGene00000044	K03F8.2.1	P54246		6509445	6514773
WBGene00000045	ZK973.5.1		Q9N4M3	4359207	4362548
WBGene00000046	T09A5.3.1	P45963		7845631	7849797
WBGene00000047	ZC504.2.1		Q23355	10412725	10416661
WBGene00000047	ZC504.2.2		Q23355	10412725	10416661
WBGene00000048	C40C9.2.1		Q18556	13642313	13646898
WBGene00000049	R02E12.8.1		Q21645	4022267	4025641
WBGene00000050	D2092.3.1		P91197	6621624	6624918
WBGene00000051	R01E6.4a.1		G5EDF1	13532853	13536459
WBGene00000051	R01E6.4b.1		A0A0K3ATC5	13532853	13536459
WBGene00000053	T05C12.2.1		Q22224	8174937	8177195
WBGene00000054	F25G6.4.1	O16926		8552695	8555383
WBGene00000055	F25G6.3.1	P48180		8561216	8564345
WBGene00000056	F53E10.2b.1		Q6F6K3	2608652	2615262
WBGene00000056	F53E10.2g.1		A0A0M7RFG1	2608652	2615262
WBGene00000056	F53E10.2h.1		A0A0M7RDU0	2608652	2615262
WBGene00000056	F53E10.2i.1		A0A0M7REC3	2608652	2615262
WBGene00000057	F28F8.1.1		G5EG72	15551157	15559147
WBGene00000058	C31H5.3a.1		G5EGB5	9031235	9036695
WBGene00000058	C31H5.3b.1		B3WFZ2	9031235	9036695
WBGene00000059	R06A4.10a.1		Q9U398	14373831	14377896
WBGene00000059	R06A4.10b.1		Q7JKI4	14373831	14377896
WBGene00000059	R06A4.10c.1		B1Q281	14373831	14377896
WBGene00000060	F27B3.2a.1		A0A3P6P985	6581885	6586580
WBGene00000060	F27B3.2b.1		A0A3P6NP92	6581885	6586580
WBGene00000060	F27B3.2c.1		A0A3P6MY71	6581885	6586580
WBGene00000060	F27B3.2d.1		A0A3P6N6F5	6581885	6586580
WBGene00000061	F48E3.7.1		G5EGR1	7503780	7506633
WBGene00000062	F59B1.9a.1	G5EG88		3651656	3659572
WBGene00000062	F59B1.9b.1		A0A168H5T6	3651656	3659572
WBGene00000063	T04C12.6.1	P0DM41		11081052	11082415
WBGene00000063	T04C12.6.1	P0DM42		11081052	11082415
WBGene00000064	T04C12.5.1	P10984		11076777	11078154
WBGene00000065	T04C12.4.1	P0DM41		11071690	11074498
WBGene00000065	T04C12.4.1	P0DM42		11071690	11074498
WBGene00000065	T04C12.4.2	P0DM41		11071690	11074498
WBGene00000065	T04C12.4.2	P0DM42		11071690	11074498
WBGene00000065	T04C12.4.3	P0DM41		11071690	11074498
WBGene00000065	T04C12.4.3	P0DM42		11071690	11074498
WBGene00000066	M03F4.2a.1	P10986		4960621	4964413
WBGene00000066	M03F4.2b.1		Q95ZL1	4960621	4964413
WBGene00000067	T25C8.2.1		O45815	13604412	13606066
WBGene00000068	F17C8.1.1		Q19523	4722095	4730919
WBGene00000069	C10F3.3.1		O16880	5976024	5981478
WBGene00000070	C44F1.5.1		G5EE33	3774896	3786477
WBGene00000071	T01C2.1.1		Q966F9	5624727	5630892
WBGene00000072	F39C12.2a.1			4854065	4860045
WBGene00000072	F39C12.2b.1	Q9U9K0		4854065	4860045
WBGene00000072	F39C12.2c.1			4854065	4860045
WBGene00000072	F39C12.2d.1			4854065	4860045
WBGene00000072	F39C12.2e.1		G8JYB0	4854065	4860045
WBGene00000073	F57F5.4a.1	Q20952		12009540	12013406
WBGene00000073	F57F5.4b.1		Q1ZXU2	12009540	12013406
WBGene00000074	C04A11.4a.1	G5EDW5		13687955	13695801
WBGene00000074	C04A11.4b.1			13687955	13695801
WBGene00000075	ZK154.7.1	Q94316		7794875	7798298
WBGene00000079	H15N14.1c.1	Q9U3D6		7773416	7777655
WBGene00000079	H15N14.1d.1			7773416	7777655
WBGene00000079	H15N14.1e.1			7773416	7777655
WBGene00000079	H15N14.1f.1			7773416	7777655
WBGene00000079	H15N14.1g.1			7773416	7777655
WBGene00000080	T20H4.4.1	Q22618		7231039	7232882
WBGene00000081	Y50D7A.7.1	O45218		295654	298556
WBGene00000082	C02B4.1a.1	G5ECS8		12678832	12689279
WBGene00000082	C02B4.1b.1		Q22580	12678832	12689279
WBGene00000083	F08C6.1a.1	Q19204		7586209	7595416
WBGene00000083	F08C6.1b.1		Q7Z292	7586209	7595416
WBGene00000083	F08C6.1c.1		Q7Z291	7586209	7595416
WBGene00000084	D2030.10a.1	G5EEU3		7602307	7608245
WBGene00000084	D2030.10b.1		G5ECE1	7602307	7608245
WBGene00000085	T14B1.2.1	G5ECD9		9650999	9653116
WBGene00000086	C02H7.3a.1	O02626		751203	759734
WBGene00000086	C02H7.3b.1			751203	759734
WBGene00000088	F32A7.6.1	P91863		14850052	14855827
WBGene00000089	Y87G2A.4.1		G5EBS5	13543068	13545188
WBGene00000090	B0334.8a.1	Q94125		11519328	11527054
WBGene00000090	B0334.8b.1			11519328	11527054
WBGene00000092	F32A6.4a.1		Q19955	5289724	5303600
WBGene00000092	F32A6.4a.2		Q19955	5289724	5303600
WBGene00000092	F32A6.4d.1		A0A131MD77	5289724	5303600
WBGene00000092	F32A6.4e.1		A0A131MBW5	5289724	5303600
WBGene00000092	F32A6.4f.1		A0A131MBC1	5289724	5303600
WBGene00000092	F32A6.4f.2		A0A131MBC1	5289724	5303600
WBGene00000092	F32A6.4f.3		A0A131MBC1	5289724	5303600
WBGene00000092	F32A6.4f.4		A0A131MBC1	5289724	5303600
WBGene00000092	F32A6.4f.5		A0A131MBC1	5289724	5303600
WBGene00000092	F32A6.4g.1		A0A131MBA1	5289724	5303600
WBGene00000093	Y62E10A.5a.1		Q9U1Y0	13368276	13369412
WBGene00000093	Y62E10A.5b.1		Q2HQK2	13368276	13369412
WBGene00000094	F09E5.13.1		Q19263	5371980	5373827
WBGene00000095	C25A1.11.1	O02219		10193925	10196997
WBGene00000096	C41G7.5a.1	O44712		9522550	9531132
WBGene00000096	C41G7.5b.1			9522550	9531132
WBGene00000097	F58E10.4.1		Q9XUW8	14012333	14013644
WBGene00000098	K07C11.2.1		G5EDL3	8221488	8223582
WBGene00000099	B0207.4.1	O01427		5937195	5938881
WBGene00000099	B0207.4.2	O01427		5937195	5938881
WBGene00000100	C25A11.4a.1			9082946	9113619
WBGene00000100	C25A11.4a.2			9082946	9113619
WBGene00000100	C25A11.4a.3			9082946	9113619
WBGene00000100	C25A11.4a.4			9082946	9113619
WBGene00000100	C25A11.4b.1		H2KYC5	9082946	9113619
WBGene00000100	C25A11.4c.1		Q95ZY7	9082946	9113619
WBGene00000100	C25A11.4d.1			9082946	9113619
WBGene00000100	C25A11.4e.1			9082946	9113619
WBGene00000100	C25A11.4f.1			9082946	9113619
WBGene00000100	C25A11.4g.1			9082946	9113619
