Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene start (bp)	Gene end (bp)
ENSPPYG00000020945	ENSPPYT00000024424	P92690		2732	3687
ENSPPYG00000020949	ENSPPYT00000024428	P92691	A0A0X8E997	3895	4936
ENSPPYG00000020949	ENSPPYT00000024428	P92691	H2PXF7	3895	4936
ENSPPYG00000020955	ENSPPYT00000024434	P92692		5342	6884
ENSPPYG00000020958	ENSPPYT00000024437	P92693	C5H6I8	7023	7706
ENSPPYG00000020960	ENSPPYT00000024439	P92694	A0A0X8E9E0	7822	8028
ENSPPYG00000020961	ENSPPYT00000024440	P92695	A0A0X8E9C5	7983	8663
ENSPPYG00000020962	ENSPPYT00000024441	P92696	A0A0X8E9E5	8663	9446
ENSPPYG00000020964	ENSPPYT00000024443	P92697	G0Z9S3	9515	9860
ENSPPYG00000020964	ENSPPYT00000024443	P92697	H2PXF8	9515	9860
ENSPPYG00000020966	ENSPPYT00000024445	P61795	A0A0X8E998	9926	10222
ENSPPYG00000020967	ENSPPYT00000024446	P92698	A0A110B1Z2	10216	11593
ENSPPYG00000020971	ENSPPYT00000024450		A0A0G2JSG4	11797	13602
ENSPPYG00000020972	ENSPPYT00000024451	P92700	A0A110AYI4	13603	14127
ENSPPYG00000020974	ENSPPYT00000024453	P92701	A0A110AV15	14201	15341
ENSPPYG00000000001	ENSPPYT00000000001		H2N335	2723	3748
ENSPPYG00000001017	ENSPPYT00000001224		H2N6C3	113978657	113985745
ENSPPYG00000001734	ENSPPYT00000002070		H2N8L9	204217642	204228405
ENSPPYG00000000221	ENSPPYT00000000243		H2N3Q4	34851136	34904544
ENSPPYG00000001735	ENSPPYT00000002071		A0A2J8SJ20	204244079	204263524
ENSPPYG00000029541	ENSPPYT00000033096		K7ETG1	23387733	23430438
ENSPPYG00000014336	ENSPPYT00000016676		H2PC50	181379014	181491126
ENSPPYG00000000106	ENSPPYT00000000115		H2N3D7	16017404	16074735
ENSPPYG00000032085	ENSPPYT00000038295		A0A8I5TVU3	23448990	23449491
ENSPPYG00000000222	ENSPPYT00000000244		H2N3Q5	34954833	35152028
ENSPPYG00000014524	ENSPPYT00000038966		A0A2J8SS55	1205103	1241197
ENSPPYG00000041127	ENSPPYT00000048320		A0A6D2Y0P5	98410393	98426319
ENSPPYG00000000222	ENSPPYT00000053405		A0A2J8V667	34954833	35152028
ENSPPYG00000001469	ENSPPYT00000001757		H2N7S3	185426881	185430740
ENSPPYG00000014524	ENSPPYT00000016886		H2PCN7	1205103	1241197
ENSPPYG00000041127	ENSPPYT00000037652		A0A8I5YRR3	98410393	98426319
ENSPPYG00000013979	ENSPPYT00000016257		A0A6D2WUW1	99332380	99336532
ENSPPYG00000014900	ENSPPYT00000017316		A0A6D2XDK2	81848478	81915952
ENSPPYG00000038782	ENSPPYT00000034094		A0A8I5U780	1243642	1243917
ENSPPYG00000029945	ENSPPYT00000048253		A0A8I5TQQ9	717648	721667
ENSPPYG00000029945	ENSPPYT00000042884		A0A8I5TNJ2	717648	721667
ENSPPYG00000035906	ENSPPYT00000052854		A0A2J8WH41	181494686	181503766
ENSPPYG00000015065	ENSPPYT00000017511		H2PEB6	136391733	136403319
ENSPPYG00000000002	ENSPPYT00000058528		A0A2J8RJK3	65654	74727
ENSPPYG00000040176	ENSPPYT00000039673		A0A8I5THI8	163653892	163654356
ENSPPYG00000000168	ENSPPYT00000052309		H2NUQ9	23502801	23511245
ENSPPYG00000000168	ENSPPYT00000000180		A0A2J8U223	23502801	23511245
ENSPPYG00000041452	ENSPPYT00000049392		A0A8I5TPI5	34636103	34658687
ENSPPYG00000030668	ENSPPYT00000045728		A0A2J8TQH8	98428144	98479429
ENSPPYG00000001018	ENSPPYT00000034455		A0A8I5TEM2	113989580	114003776
ENSPPYG00000030668	ENSPPYT00000062286		A0A2J8TQJ8	98428144	98479429
ENSPPYG00000000002	ENSPPYT00000053495		A0A2J8RJN6	65654	74727
ENSPPYG00000000002	ENSPPYT00000000002		H2N336	65654	74727
ENSPPYG00000000907	ENSPPYT00000047694		A0A2J8VEK5	100580241	100597574
ENSPPYG00000041786	ENSPPYT00000001002		H2N5R4	97990390	97990746
ENSPPYG00000000223	ENSPPYT00000000245		H2N3Q6	35170882	35227024
ENSPPYG00000001018	ENSPPYT00000049074		A0A8I5TUU5	113989580	114003776
ENSPPYG00000000003	ENSPPYT00000000005		H2N339	76095	77453
ENSPPYG00000000907	ENSPPYT00000001095		Q5RAC3	100580241	100597574
ENSPPYG00000001736	ENSPPYT00000040942		A0A8I5U7V8	204308526	204332820
ENSPPYG00000012366	ENSPPYT00000014348	Q5R5K6	A0A2J8XC49	44127582	44134989
ENSPPYG00000012834	ENSPPYT00000014909		A0A6D2WUX0	33654810	33739384
ENSPPYG00000012674	ENSPPYT00000014722		H2P710	102339854	102360014
ENSPPYG00000012366	ENSPPYT00000036946	Q5R5K6	A0A2J8XC98	44127582	44134989
ENSPPYG00000001155	ENSPPYT00000001384		H2N6S3	134831634	134890750
ENSPPYG00000000907	ENSPPYT00000037184		A0A2J8VEL4	100580241	100597574
ENSPPYG00000014901	ENSPPYT00000017317		H2PDT4	82858295	82863368
ENSPPYG00000035559	ENSPPYT00000040080		A0A8I5YJU0	94244520	94245016
ENSPPYG00000001736	ENSPPYT00000002072		H2N8M1	204308526	204332820
ENSPPYG00000000223	ENSPPYT00000052763		A0A8I5UTR8	35170882	35227024
ENSPPYG00000000907	ENSPPYT00000061009		A0A2J8VEL0	100580241	100597574
ENSPPYG00000015452	ENSPPYT00000017967		H2PFI7	50729659	50840810
ENSPPYG00000014901	ENSPPYT00000034962		A0A2J8V4M5	82858295	82863368
ENSPPYG00000012112	ENSPPYT00000014059		A0A6D2Y601	8577303	8611944
ENSPPYG00000000169	ENSPPYT00000000181		H2N3J6	23576336	23592503
ENSPPYG00000000004	ENSPPYT00000000006		H2N340	97459	112860
ENSPPYG00000035937	ENSPPYT00000061071		A0A8I5TJ41	118285610	118360003
ENSPPYG00000000907	ENSPPYT00000034622		A0A2J8VEK2	100580241	100597574
ENSPPYG00000001018	ENSPPYT00000001225		H2N6C4	113989580	114003776
ENSPPYG00000000169	ENSPPYT00000043270		A0A8I5YKU0	23576336	23592503
ENSPPYG00000012112	ENSPPYT00000058586		A0A2J8RU67	8577303	8611944
ENSPPYG00000015452	ENSPPYT00000056194		A0A2J8V5Z3	50729659	50840810
ENSPPYG00000001018	ENSPPYT00000056115		A0A8I5TZ96	113989580	114003776
ENSPPYG00000014957	ENSPPYT00000061053		A0A8I5YML3	98480936	98483149
ENSPPYG00000015243	ENSPPYT00000017720		H2PEV8	184547099	184594697
ENSPPYG00000001018	ENSPPYT00000001226	Q5RCK9	H2N6C5	113989580	114003776
ENSPPYG00000015452	ENSPPYT00000039746		A0A8I5TUU4	50729659	50840810
ENSPPYG00000000933	ENSPPYT00000001123		H2N627	105712748	105732049
ENSPPYG00000014525	ENSPPYT00000016888		H2PCN9	1308427	1358044
ENSPPYG00000000833	ENSPPYT00000001004		H2N5R6	98048631	98049383
ENSPPYG00000014957	ENSPPYT00000017381	Q5RC42	A0A2J8TQK0	98480936	98483149
ENSPPYG00000001156	ENSPPYT00000001385		H2N6S4	134890680	134914889
ENSPPYG00000015243	ENSPPYT00000034569		A0A2J8T3G5	184547099	184594697
ENSPPYG00000014338	ENSPPYT00000016678	Q5R5H4		181507609	181563063
ENSPPYG00000001737	ENSPPYT00000002074		H2N8M3	204364023	204365522
ENSPPYG00000012675	ENSPPYT00000014723		H2P711	102371282	102397291
ENSPPYG00000000933	ENSPPYT00000040166		A0A2J8SQ78	105712748	105732049
ENSPPYG00000000224	ENSPPYT00000000246		A0A2J8V638	35471056	35520529
ENSPPYG00000014957	ENSPPYT00000048757		A0A8I5YL98	98480936	98483149
ENSPPYG00000014338	ENSPPYT00000037194		A0A8I5TYJ7	181507609	181563063
ENSPPYG00000014902	ENSPPYT00000017318		Q5R9Z3	82948077	83017323
ENSPPYG00000012675	ENSPPYT00000048378		A0A2J8V3T0	102371282	102397291
